word,bo,sk,sva,pl,la,ar,tg,ml,krl,fa,hi,en,za,is,uk,ps,sa,id,ta,tcy,ca,da,vi,af,yea,ms,ko,kru,lt,ja,ug,gv,gon,nn,de,nl,lb,az,te,ku,ro,pt,gdb,km,bg,vro,tl,br,et,hu,oc,hy,se,mt,kxv,vep,kfe,gl,ba,sv,bfq,xmf,ur,kfa,kff,kfb,mn,th,lo,my,pci,lv,it,fi,brh,fo,bn,be,ru,mk,cs,he,fr,liv,cy,ga,sq,gd,xub,ka,tr,ny,zu,sl,kn,es,el,vot,yi,fy,tcx,lzz,mjt,as
old,*rȵiŋ.pa,ˈstariː,dʒwinɛl,ˈsta.rɨ,ˈwe.tus,qa.diːm,,,ˈvɑnhɑ,ɢæd̪iːˈmiː,pʊ.ɾɑː.nɑː,ˈəʊld,,ˈkaːmatl,,,,la.ma,,,ˈveʎ,ɡaməl,ku˦ˀ˥,œu,,,na̠k̚t͈a̠,,ˈsʲæːnɐs,,,,,²ɡɑːmɑl,alt,ɑu̯t,,æsˈki,,ˈkɛvn,vekʲ,ˈvɛ.ʎu,,cās´,star,ˈvɑnɑ,ˈlu.maʔ,,ˈʋɑnɑ,ˈreːɡi,,hin,,ʔɐˈdiːm,,ˈvɑnh,,,iθˈkɪ̞,,,dʒvɛʃi,,,,,,kaw˨˩,kau˧˧,háʊɴ,,,ˈvɛk.kjo,ˈʋɑnhɑ,,kɛaːmal,,staˈrɨ,ˈstarɨj,,ˈstariː,,vjø,ˈvɑnɑː,heːn,ʃanˠ,,ʃɛn,,dzvɛli,,,,ˈstár,,anˈtiɡwo,,ˈvɑnhɑ,,ɔːt,,mdʒvɛʃi,,pu.ɹɔ.na
moon,*zla.ba,ˈmɛsi̯at͡s,dɔʃdul,ˈkɕɛŋ.ʐɨt͡s,ˈluː.na,,,tʃendɾan,ˈkuː,,t͡ʃɑːnd̪,muːn,ɣoːŋ˧ ɗɯːn˨˦,tʰuŋl,,spoʐˈməi,t͡ɕɐn̪.d̪ɽɐ́,bu.lan,cantiraṉ,tʃendɾe,ˈʎu.nə,,,,nilatʃi,bulan,ta̠ɭ,tʃando,mʲeːˈnʊlʲɪs,ta̠iĩɴ,,eːs,dʒango,,moːnt,maːn,,,tʃendɾuɖu,,ˈlunə,ˈlu.ɐ,neling,lokkʰae,luˈna,ˈkːuː,,,ˈkuː,ˈhold,ˈlyno,luˈsin,ˈmaːnnuː,ˈʔaːmɐr,lendʒu,ˈku,nelavə,ˈluɐ,ɑj,ˈmoːˌnɛ,tinguʋa,tʰutʰä,,tʃendɾa,sanɖama:ma,nela,sar,t͡ɕan˧,,la̰,neliñ,,ˈlu.na,ˈkuː,ʈu:be,ˈmɔanɪ,,,lʊˈna,,ˈmjɛsiːt͡s,jaˈʁɛaχ,lyn,ˈkuː,ˈɬeɨ̯ad,ɟəˈl̪ˠɑx,hənə,,pəɾi,mtʰvärɛ,aj,ˈmʷe.zí,íɲaːnɡá,ˈlùːna,candra,ˈluna,,ˈkuː,,ˈmwanə,nila,tʰutʰä,bilpdu,zʊn
if,*na,ak,läχ,ˈjɛɕ.lʲi,siː,ʔin,,,ˈgu,ˈæɡʲæɾ,ə.ɡəɾ,ɪf,,ɛːv,,,,,,,ˈsi,ves,new˧˦,,,ka.lau̯,,,jæj,mo̞ɕi,,,,,vɛn,ɑ(l)s,,ˈæɡʲæɾ,,,ˈda.kə,sɨ,,poe,,ˈkːu,,,ˈkui,ˈhɒ,,jɛˈtʰɛ,ˈjos,ˈjɛkː,,ˈku,,,æˈɡær,ɔm,,vär,,,,,,tʰaː˥˩,,ka̰/,,,se,ˈjos,,,,,ˈjes⁽ʲ⁾lʲɪ,ˈakɔ,ˈjɛstlɪʒɛ,,si,ˈɑʒ,ɔs,mˠɑː,,,,tʰu,,,,tʃɛ,,si,,ˈkui,,ɔs,,vänä,,
split,,,lirdɛ,ˈd͡ʑɛ.lʲit͡ɕ,ˈskin.doː,qa.sa.ma,,,ˈhɑlːɑtɑ,,,splɪt,,ˈkʰlɔpna,,,,,,,pəɾˈti,,t͡ɕɛ˧˩,,,,,,,ɰᵝa̠ɾɯ̟ᵝ,,,,,ˈʃpaltn̩,,,,,,,pɐɾ.ˈtiɾ,,,,ˈlɑhkːi ɑjɑmɑ,,,ˈlɤhestɑmɑ,ˈhɒʃiːt,,,,,,ˈhɑugoidɑ,,,,deːla,,rtʰuälä,,,,,,,,kʰwɛ́,,,ˈfɛndere,ˈhɑlkɑistɑ,,,,,rəɕːɪˈplʲætʲ,,,,fɑ̃dʁ,ˈloːgst̪ɨ,,,,,,qʼɔpʰä,,,,,,parˈtiɾ,,ˈhɑlkɤɑ,,,,ɔrtʰu,,pʰal
back,,ˈxr̩baːt,tʃʼätʃʼær,ˈplɛ.t͡sɨ,ˈdor.sum,ðˁa.ha.ra,puʃt,,ˈselkæ,pʰoʃt̪ʰ,piːʈʰ,bæk,,paːk,,,,,,,əsˈkə.nə,,lɨŋ˧˧,rœχ,,bəlakaŋ,tɯŋ,,ˈn̪ʊɡɐrɐ,,,d̪riːm,,,ˈʁʏkn̩,rʏx,ʀek,,,,,ˈkɔs.tas,,k̥ʰnṅ,ɡrɤp,ˈsːælk,,ˈkɛjn,ˈselg,ˈhaːt,,mɛt͡ʃʰkʰ,,,,ˈselg,,ˈlombo̝,ɑrˈqɑ,rʏɡ,,ɔtʃʼiʃi,,,,,,laŋ˩˩˦,laŋ˩˧,t͡ɕɔ́,,,ˈskjɛna,ˈselkæ,,,,ˈsʲpʲina,spʲɪˈna,ɡr̩p,ˈzaːda,,do,ˈsæːlgɑ,,d̪ˠɾˠiːmʲ,ʃpiːn,kʰuːɫ̪,,zurgi,,mˈsá.na,uḿ̩ɬaːné,ˈxərbət,,esˈpal.da,,ˈseltʃæ,,rɛːx,,kʼäpʼulä,,pi.tʰi
round,,,kʼurpʼi,ɔˈkrɔŋ.ɡwɨ,roˈtun.dus,,,vaṭṭa,ˈpyøryɑ,,,ˈɹaʊnd,,,,ɡərd,,,ʋaʈʈam,uɾuʈə,roˈdo,,swɛ˧˧,,uɾuʈu,,tuŋɡɯɭda̠,guʈiɳɖa,,,,,guɳɖɾal,,ʀʊnt,rɔnt,,,guɳɖɾani,,roˈtund,ʁɨ.ˈdõ.du,tukud,,,ˈtːsːɤːrikː,,,ˈymɑr,ˈkɛrɛk,,,,,,ˈkehker,ʋaʈam,reˈðondo̝,tʏ.ŋæˈræk,,,rgväli,,uɾuʈa,guɳɖɾa:n,bubbaɾi,,,,wáɪɴ,tūk,,roˈtondo,ˈpyøreæ,go:l peɾi,,,ˈkruɣɫɨ,ˈkruɡlɨj,,ˈkulatiː,,ʁɔ̃,ˈimːɨr,krʊn,kɾˠiːnʲ,,kʰruɪɲ,bəjnsakɾangu:də,mrgväli,,,,otˈkròːɡəw,baṭṭa,reˈdondo,,ˈpulskɤɑ,,,uʈʈi,mɔrgväli,guɖme,
tree,*ɕiŋ,strɔm,mɛgɛm,ˈdʐɛ.vɔ,ˈar.bor,,,maɾam,ˈpuː,deˈɾæxtʰ,,tɹiː,fai˦˨,tʰrjɛː,,ˈwəna,,po.hon,maɾam,maɾa,ˈa.bɾə,trɛː,kəj˧˧,bʊəm,maɾa,pokokʔ,na̠mu,mann,ˈmʲæːdʲɪs,kɨ,,ˈbilʲə,maɾa,,baʊ̯m,boːm,baːm,ɑˈɣɑd͡ʒ,tʃeʈʈu,,ˈarbore,ˈaɾ.vu.ɾɨ,tukud,ṭoemjʰoe,dərˈvɔ,ˈpːuː,,ɡwe,ˈpuː,ˈfɒ,,t͡sɑr,ˈmuo̯rra,ˈsɪdʒrɐ,paʈa,ˈpu,maɾam,,ɑˈʁɑs,,moɾa,dʒä,,maɾa,ma:ɾa,ma:k,,ton˥˩.maːj˦˥,ton˥˧ mai˥˧,θɪʔpɪ̀ɴ,meri,kùoks,ˈal.be.ro,ˈpuː,dɾahkʰt,tɹɛaː,ɡɑs,ˈdreva,ˈdʲerʲɪvə,,strom,et͡s,aʁbʁ,ˈpuː,ˈkɔɨ̯dɛn,kɾˠaun̪ˠ,,,meɾi,χɛ,a.át͡ʃ,mˈté.ᵑɡo,úmuːtʰí,drɛˈʋóː,mara,ˈarbol,ˈðe̞n.dro̞,ˈpuː,bɔjm,bɪə̯m,me:n,ndʒä,bʰumi,ɡɔs
sky,*gnam,ˈɲɛbɔ,dɛts,ˈɲɛ.bɔ,ˈkae̯.lum,sa.maːʔ,,,ˈtɑivɑs,ɒːsˈmɒːn,,skaɪ,ɓɯn˨˦,ˈhɪːmɪnː,,hask,,la.ŋit,,,ˈsɛl,,t͡ɕəːj˨˩,lœχ,,laŋet,ha̠nɯɭ,,dɐŋˈɡʊs,so̞ɾa̠,ɑsˈmɑn,,,,ˈhɪml̩,ˈɦeː.məl,ˈhimel,ɡœj,,,t͡ʃer,ˈsɛw,,megʰ,nɛˈbɛ,ˈtːɑivɑsː,,ˈo.abl,ˈtɑeʋɑs,ˈeːɡ,,jɛɾˈkiŋkʰ,,,,ˈtɑivɑz,,ˈθɛ.ʊ,kʏk,,,tsä,,,,,,faː˦˥,,káʊɴɡɪ̀ɴ,,,ˈt͡ʃɛ.lo,ˈtɑiʋɑs,,ˈhiːmɪn,akaʃ,ˈnʲeba,ˈnʲebə,,ˈnɛbɛ,,sjɛl,ˈt̪ouvɨs,ˈau̯ɨ̞r,eːɾˠ,,,,tsä,ˈɡœcjyz̟y,,,nɛˈbóː,,firmaˈmento,,ˈtɑivɑ,,,,tsä,,akax
think,,ˈmisli̯ɛc,liskʼɔrɛ,ˈmɨɕ.lɛt͡ɕ,ˈkoː.ɡi.toː,,,,ˈtuːmɑmɑijɑ,ˌfekɾ kʲæɾˈd̪æn,sotʃn̪aː,θɪŋk,,ˈhʏxsa,ˈdumɐte,,,pi.kir,,,pənˈsa,,ŋi˦ˀ˥,dəŋk,,fike(r),sʰe̞ŋɡa̠kʰa̠da̠,,,kamukapu,,,,,ˈdɛŋkən,ˈdɛŋkə(n),,dyʃynˈmæk,,ˈfɯkɯɾiːn,ɡɨnˈdi,pẽˈsaɾ,,yl´,,ˈmɤtːlɤmɑ,,,ˈmɤtlemɑ,ˈɡondolkodik,,mətɑˈt͡sɛl,ˈjurːttaʃih(t),ˈħaːsɛp,,ˈmeletɑdɑ,,,,,,gurtʃämä,sotʃn̪aː,,,,,kʰit̚˦˥,,twé,,,,ˈɑjɑtelːɑ,,,,,ˈdumətʲ,,ˈpr̝̊ɛmiːʃlɛt,ħaˈʃav,pɑ̃.se,ˈmɨt̪lɨ,ˈmɛðʊl,capˠ,mɛnˈdɔj,,,pʰikʰri,,ɡaˈni.za,,ˈmiːsliti,,penˈsaɾ,ˈsceftome,ˈduːmɑtɑ,,,,ɔsimädu,,bʱɔ.ba
wing,,ˈkriːdɫɔ,kʼäbərdʒ,ˈskʂɨ.dwɔ,ˈaː.la,d͡ʒa.naːħ,bɔːl,,ˈsiːbi,bɒːl,,wɪŋ,fɯːt˧,ˈvaiŋkʏr,,,,,,,ˈa.lə,,kajŋ̟˧˦,,,,na̠ɭɡe̞,,,t͡sɨᵝba̠sa̠,,ˈskiːən,,,ˈflyːɡl̩,,,ɡɑˈnɑd,,,,ˈa.zɐ,,s̥lāp,kriˈlɔ,ˈsːiːp,,ˈas.kɛl,ˈtiːb,ˈsaːrɲ,,tʰɛv,ˈsoɑ̯ɟɟiː,ˈd͡ʒwɪːnɐħ,,ˈsuːg,,aː,qɑˈnɑt,ˈvɪŋˌɛ,,suä,,,,,,piːk̚˨˩,,ʔətàʊɴ,,spàːɾns,ˈala,ˈsiːpi,,ˈvɔŋkʊɹ,,krɨˈɫo,krɨˈlo,,kr̝̊iːdlo,kaˈnaf,ɛl,ˈt̪iːbɨz,ˈadai̯n,ˈʃcɪhɑːn,kɾa,,,pʰrtʰä,,ˈpʰi.ko,íːpʰiːɠo,ˈkrìːlɔ,,ˈala,,ˈsiːpi,,,,msvä,,dɛu.ka
thou,,ˈti,si,tɨ,tuː,ʔanta,,ni,ˈsie,to,tʊm,ðaʊ,,θu,ˈtɪ,,,kamu,ni,i,ˈtu,du,maj˨˩,,ni,əŋkau̯,ta̠ŋɕʰin,ni:n,tʊ,⟨ki1mi1⟩,,,nimme,,duː,ɣɛi̯,,,ni:ʋu,,tu,tu,in,,ti,ˈsːɑʔ,,,ˈsinɑ,ˈtɛ,,du,,,ninu,ˈsinæ,ni:ja,,,dʉː,ni,si,tʊm,ni:nə,nimma,ni:nu,,kʰun˧,,,īn,,t̪u,ˈsinæ,ni:,tʰʉuː(w),ˈθʊiː,,tɨ,ti,tɪ,(ʔ)aˈta,ty,ˈsinɑː,tiː,t̪ˠuː,,hu,ni:jə,ʃɛn,sen,,,ˈtíː,ni:nu,ˈtu,,ˈsiæ,,,ni,si,ni:n,tɔɪ
hair,,,pʰätʰw,ˈvwɔ.sɨ,ˈko.ma,ʃa.ʕa.ra,,muɖi,ˈhivus,mo,bɑːl,hɛə,,hauːr,wɔˈlɔsʲːɐ,,kɐ́j.ɕɐ,,muɖi,ku:dʒal,kəˈbəʎ,,tawk͡p̚˧˦,,tilami,rambot,mʌ̹ɾikʰa̠ɭ,tʃuʈʈi,,,,,kel,hoːr,haːɐ̯,ɦaːr,hoː(e)ʀ,sɑt͡ʃ,veɳʈɾukalu,,,kɐ.ˈβe.lu,tʃendi,sk´,koˈsa,ˈkːɑrv,bu.ˈhok,,ˈkɑrʋ,ˈhɒj,,,,ʃaˁːr,bana,ˈibus,manɖə mi:ɾə,kaˈβ̞elʊ,sæs,hoːr,oɾame,tʰumä,bɒːl,telami,dʒuʈʈul,ti:ɾu,,pʰom˩˩˦,,zəbɪ̀ɴ,tūk,mats,,ˈkɑrʋɑ,puʒʒɛ,hɔaːɹ,tʃul,ˈvoɫas,ˈvoləsɨ,ˈkɔsa,ˈvlasɪ,sa.ʔaˈʁa,ʃə.vø,ˈkoːrɑ,ɡwaːɬd,ɡɾˠuəɟ,ˈcimɛ,,ta:kəɾə,tʰmä,sat͡ʃ,,ûːnwéːle,ˈláːs,kūdalu,kaˈbeʎo,,ˈivuz,hɔʁ,,mi:ɾs,tʰɔmä,ta:li,suli
see,*mtʰoŋ,ˈviɟi̯ɛc,lisgdi,ˈvʲi.d͡ʑɛt͡ɕ,ˈwi.de.oː,ra.ʔaː,diˈdan,ka:ɳuka,ˈnæhæ,d̪iːˈd̪æn,d̪eːkʰ.nɑː,siː,,ˈsjauː,ˈbɑt͡ʃete,,pɐ́ɕ.jɐ.t̪i,,kāṇ,tuʋa:ɾa,ˈvəw.ɾə,seː,ɲin˨˩ tʰəj˧˦,,no:ku,lihat,po̞da̠,je:ɾna,mɐˈtʲîːtʲɪ,mʲiɾɯ̟ᵝ,,,huɖa,ʃoː,ˈzeː.ən,zin,ɡeˈzin,ɡœrˈmæk,tʃu:ɖu,ˈdiːtɯn,veˈde̯a,veɾ,tʃu,gʰoeñ,ˈviʒdəm,ˈnækemæ,kiˈta,,ˈnægemɑ,ˈlaːt,,tɛsˈnɛl,ˈoɑ̯jːtniːh(t),,,ˈnæhtɑ,no:ʈə,,,seː,no:ɖə,rtsʼqʼɛbä,d̪ekʰnaː,no:ʈə,u:ɖa,ta:na,ut͡səx,hen˩˩˦,hen˩˧,twḛ,tūk,ɾɛdzɛ̂ːt,veˈde.re,ˈnæhdæ,unning,ˈsʊt͡ʃːa,ˈd̪ækʰa,ˈbat͡ʂɨt͡sʲ,ˈvʲidʲɪtʲ,ˈɡlɛda,ˈvɪɟɛt,,vwaʁ,ˈnæːd̪ɨ,ɡwɛld,fʲɛc,,,no:ɖ,χɛdvä,ɟœɾmɛc,,ɓoːná,ˈʋiːdɛti,no:ɖu,ˈbeɾ,ˈvlepo,ˈnæhæ,,,nu:ʈ,ɔtsʼkʼɔmilu,ʈunɖpo,dɛkʰa
fat,,tuk,mətʃχim,twuʂt͡ʂ,ˈa.deps,,,koɻuppə,ˈrɑzvɑ,tʃærbiː,,fæt,,ˈfɪːta,,,,,koɻuppə,tʃeɾabi,,fet,məː˦ˀ˥,,tʃiɾabi,,t͡ɕiba̠ŋ,neʈa,rʲɪəbɐˈlɐɪ̯ˑ,ɕibo̞ː,,,koɾondʒ,,fɛt,vɛt,,,koʋʋu (noun),,,ɡoɹ.ˈdu.ɾa,me:n,k̥ʰlāñ´,,ˈrɑsːɤv,,,ˈrɑsʋ,ˈʒiːr,,t͡ʃɑɾp,,,,ˈrɑzv,koɭupu,,,fɛt,koɭəppə,gägäbi,tʃərbiː,tʃeɾabi,kodoʋo:s,bʰu:mi,oːx,kʰaj˩˩˦.man˧,,ʔəsʰì,koṛukuḍ,,ˈɡras.so,ˈrɑsʋɑ,tʃaɾpi:,ˈfiːtɪ,tʃorbi,,ʐɨr,,,,ɡʁɛs,ˈrɑzɑː,ˈbrastɛr,sˠail̠ʲ,,,tanniʋi,tsχimi,ˈj‿a,,ámafûːtʰa,,kobbu,ˈɡɾasa,ˈli.pos,ˈrɑzvɑ,,,koɻəppə,jäʁi,nedʒdʒa,
not,,,dɛmɛ,ɲɛ,noːn,laː,,illa,ˈei,næ,nə.ɦĩː,nɒt,ɓou˥,ˈɛhcɪ,ˈnɛ,,,,ille,a:tu,ˈno,ekə,xəwŋ͡m˧˧,ni,ille,tidaʔ,a̠n,mala,,,,,helle,²ɪçːə,nɪçt,nit,,dejil,le:du,,nu,nɐ̃w̃,tukud,,nɛ,ˈei,,,ˈei,ˈnɛm,,t͡ʃʰ,,,,ˈei,illa,ˈnʊŋ,ˈtʏ.ɡɪ̞l,ˈɪnˌtɛ,kulle,vär,nəɦĩː,ille,ille,ka:du,,maj˥˩,bɔː˧˧,mə,tūk,,non,ˈei,a:xa,ˈɪʰtʃːɪ,,nʲe,nʲɪ,,nɛ,lo,nə,ˈæb,dɪm,n̠ʲiː,nʊk,,ila,är,dejil,,,ˈnɛ́,alla,no,ðe̞,ˈeb,nit,ˈnɛt,a:ɖudi,vär,mala:,nɔ.ɦɔɛ
hear,,,səmæn,ˈswɨ.ʂɛt͡ɕ,ˈau̯.di.oː,sa.mi.ʕa,ʃunidan,kelkuga,ˈkuːlːɑ,ʃeniˈdæn,sʊn.nɑː,hɪə(ɹ),,ˈheiːra,ˈt͡ʃute,awraˈwəl,,də.ŋar,ke:ɭə,keɳaɾa,sənˈti,høːrə,ŋɛ˧˧,,ke:ɭu,dəŋa(r),tɯt̚t͈a̠,menna,,kʲi̥kɯ̟ᵝ,,,kendʒ,,ˈhøːrən,ˈɦoːrə(n),ˈhei̯ʀen,,ʋinu,ˈbiːstɯn,,owˈviɾ,tukud,ḹ,ˈtʃuvəm,ˈkːuːltmɑ,,,ˈkuːlmɑ,ˈhɒlː,,ləˈsɛl,,ˈsɐmɐ,,ˈkuldɑ,ke:lə,ɔˈiɾ,,,ke:pə,rtʃkʰilä,,ke:ɭə,ke:dʒa,ʋinti,,daːj˥˩.jin˧,,t͡ɕá,ven,dzìɾdɛ̂ːt,,ˈkuːlːɑ,bining,,ʃonɑ,,ˈslɨʂətʲ,,ˈslɪʃɛt,ˈʃema,ɑ̃.tɑ̃dʁ,ˈkuːloː,ˈkləu̯ɛd,klˠɔʃ,,,kə:ɭ,smɛnä,,,,,ke:ɭu,oˈiɾ,aˈkuo,ˈkuːlːɑ,,ˈjɛ(ː)rə,ke:l,ɔʃkʼinu,me:na,xu.na
star,,ˈɦvi̯ɛzda,ämtʼqʼwæsg,ˈɡvʲaz.da,,,,nakʂatɾam,ˈtæhti,sitɒːɾæ,,stɑː(ɹ),ɗaːu˨˦ ɗei˧˥,ˈstjartna,,st̪oˈ.raɪ,,,mīṉ,nakʂatɾe,əsˈtɾə.ʎə,stjɛrnə,saːw˧˧,,natʃtʃatiɾa,bintaŋ,pjɘːɭ,bi:nko,ʒʋɐjɡʲʒʲˈdʲeː,posi,julˈtuz,,sukku,²stjɛrnə,ʃtɛʁn,stɛr,ʃteːʀ,uɫdúz,nakʂatɾamu,,,ɨʃˈtɾelɐ,puʈ,tārā,zvɛzˈda,ˈtːæhtː,,ste.ˈʁe.dɛ̃n,ˈtæht,ˈt͡ʃilːɒɡ,,ˈɑstəʁ,ˈnaːsːtiː,,huka,ˈtæhtɑz,nakʂaʈiɾam,es̺ˈtɾelɐ,jʊ̞nˈdʊ̞ð,²ɧæːɳa,natʃtʃatɾa,murutsχi,,nakʂatɾa,ukka,sukka,,daːw˧,daːu˩˨,t͡ɕɛ̀,cukka,zvàjɡznɛ,ˈstel.la,ˈtæhti,isʈa:ɾ,ˈʃœtna,,ˈzorka,zvʲɪzˈda,ˈd͡zvɛzda,ˈɦvjɛzda,,e.twal,ˈt̪e̞ːd̪j,ˈsɛrɛn,ˈɾˠeːl̪ˠt̪ˠə,yɫ,rˠeːɫ̪,mi:nu,värskʼvlävi,jɯɫˈdɯ́z,ɲéˈɲe.zí,ímbaːsa,ˈzʋèːzda,nakʂatɾ,esˈtɾeʎa,,ˈtæhti,ˈʃtɛʁən,,naʈtʃatiɾam,murutsχi,bi:nka,
many,,,mäsærd,ˈvʲɛ.lɛ,ˈmul.tiː,ka.θiːr,,pala,ˈæijæ,zɪˈjɒːd,bɔˈhɔt̪,ˈmɛni,,ˈmarkʏr,bɐˈɦɑtɔ,ɖer,bɐ.ɦú,baɲak,palə,ba:ɾi,ˈmolt,manɡə,ɲiaw³³,bajə,tumba,baɲak,ˈma̠ːnɯn,bagge,dɐuɡ,,,,dʒa:sta,,ˈfiːlə,veːl,,t͡ʃɔχ,nānā,ˈɡɛlɛk,mult͡sʲ,ˈmũj̃.tuʃ,tukud,c̥roen,,ˈpːɑlːʲo,,,ˈpɑlju,ˈʃok,,ʃɑt,,,,ˈæi,i:dʒo:ɖ,,kʏp,,appaɾa,brɛli,,dumba,tʃa:la,peɾe,,,,mjá,tūk,dāūdz,,ˈmontɑ,ba:z,ˈmɛŋkʊɹ,,,ˈmnoɡə,ˈmnɔɡu,ˈmnoɦo,,bo.ku,ˈpæːgiɲ,,əˈl̪ˠɑːnˠ,,ˈiməɣ,kajɾijə,bɛvri,tʃɔk,,,ʋɛˈlìːkɔ,halaʋu,ˈmut͡ʃos,,ˈmitːomɑ,aˈsax,,uppu:m,didɔ,di:kehi,
stick,,,pʰäu,kʲij,ˈba.ku.lum,ʕa.sˁan,tʃɵb,,ˈkepːi,t͡ʃoːb,t͡ʃʰə.ɽiː,stɪk,,ˈstaːvʏr,,,,,,,,kɛp,ɣəj˧˨ʔ,,,bataŋ,mak̚d̬ɛːɡi,,lɐzˈdɐ,,,,,çɛp,ʃtaːp,,,,,,,ˈpaʊ,,ṭṃpṅ,ˈprɤtʃkə,ˈkːepː,,,ˈkepː,ˈbot,,pʰɑjt,,,,ˈkɑlu,,,tɑ.ˈjɑq,ɕɛp,,bigä,,,,,,dun˥˩,,doʊʔ,,,basˈtone,ˈkepːi,,,,,ˈpalkə,stap,ɦuːl,,bɑ.tɔ̃,ˈsovɑː,,ˈbˠat̪ˠə,,,,dʒɔχi,tʃubuk,,índuːɠu,,,,,ˈriuku,,,,bigä,,
dry,*skam.po,ˈsuxiː,pʰikʼwi,ˈsu.xɨ,ˈsik.kus,d͡ʒaːff,,varaṇṭa,ˈkuivɑ,xoʃk,suː.kʰɑː,dɹaɪ,ɣeːŋ˦˨,θʏrː,,,ɕúʂ.kɐ,,ularnta,nunguduna,əˈʃut,tœːr,xo˧˧,,unaku,,ma̠ɾɯda̠,kʰajka,,ka̠ɰᵝa̠kɯ̟ᵝ,,,ʋaʈʈa,,ˈtʁɔkən,droːx,ˈdʀeχen,,eɳɖu,,usˈkat,ˈse.ku,tukud,s̥ṅuat,,ˈkːuiv,,ˈsɛːχ,ˈkuiʋ,ˈsaːrɒz,,t͡ʃʰoɾ,,,,ˈkuiv,kanʈiko,,qʊ̞ˈrʊ̞,,oɳikiladə,skʰiru,suːkʰa,oɳangina,aɾta:d,a:tiɾ,,hɛːŋ˥˩,,t͡ɕʰaʊʔ,tūk,sàws,ˈsekko,ˈkuiʋɑ,ba:ɾun,,,suˈxʲi,sʊˈxoj,,ˈsuxiː,,sɛk,ˈkuːjɑ,sɨːχ,ˈtʲɪɾʲəmʲ,,ˈtʃʰiɾəm,ajngənu ipədə,mʃräli,,,,ˈsúːx,battida,ˈseko,,ˈkuivɑ,,,oɳikisi,χɔmulä,a:ika:,xu.kan
forest,*ɕiŋ.naks,ˈlɛs,tsχɛkʼ,las,ˈsil.wa,ɣaː.ba,beʃæ,,ˈmetʃːɑ,beːˈʃæ,,ˈfɒɹɪst,ɗoŋ˨˦ fai˦˨,ˈskouːʏr,,d͡zəŋɡəl,ʋɐ́.n̪ɐ,hu.tan,,,ˈbɔsk,,zɨŋ˨˩,bɔs,,hutan,sʰup̚,,ˈmɪʂ.kɐs,mo̞ɾʲi,,kiːlʲ,,,valt,ʋɑu̯t,beʃ,,,,pə.ˈdu.ɾe,floˈɾɛs.ta,,b̥rai,ɡoˈra,ˈmɤtːsː,,ˈkwɑːt,ˈmets,ˈɛrdøː,,ɑnˈtɑr,,,,ˈmets,,ˈbɔske,urˈmɑn,skuːɡ,,tʼqʼä,,,,,,paː˨˩,,tɔ́,,,,ˈmetsæ,,,,lʲes,lʲes,ˈʃuma,lɛs,ˈja(ʕ)aʁ,fɔ.ʁɛ,ˈmɨt̪sɑː,ˈkɔɨ̯dwɪɡ,kiːlʲ,pyɫ,ˈkʰɤʎə,,tʼqʼɛ,,,îːɬâːtʰi,ˈɡɔ́st,,ˈboske,ˈðasɔs,ˈmetsːæ,,,,gɛrmä,,ɦa.bi
narrow,,ˈuːski,näχwtsʼi,ˈvɔ̃s.kʲi,anˈɡus.tus,dˁaj.jiq,,,ˈkɑidu,,t̪əŋɡ,ˈnæɹoʊ,,ˈθrøyŋkʏr,wʊˈzʲkɪi̯,,,,,,əsˈtɾət,snɛvər,hɛp̚˧˨ʔ,,,,,,,se̞ma̠i,,,,,ɛŋ,nɑu,,dɑr,,,strɨmt,iʃ.ˈtɾɐj.tu,,cṅ̥ʾiat,ˈtɛsɛn,ˈɑhtːɑkɤnɤ,,,ˈkitsɑs,ˈsyːk,,nɛʁ,,,,ˈkɑid,,,ˈtɑr,,,intsʼrɔ,,,,,narʲiŋ,kʰɛːp̚˥˩,,t͡ɕɪ́ɴ,,ʃàuɾs,ˈstretːo,ˈkɑpeɑ,,,,ˈvuskʲi,ˈuskʲɪj,,ˈuːskiː,,e.tʁwa,ˈoːd̪ɨz,kɨːl,kuːŋ,,kʰɯːɫ̪,,vitsʼrɔ,,,,ˈòːzək,,es̺ˈtɾe.tʃo,,ˈɑhɑz,,,,ndäri,,
there,,ˈtam,ɛtʃɛtʃu,tam,ˈi.bi,hu.naː.ka,,,ˈsielæ,ɒːnˈdʒɒː,,ðɛə(ɹ),,ˈθartna,ˈtɑm,ˈhalta,,,,,əˈʎa,dar,,dɑːr,,,kʌ̹ɡi,,,,,,,,dɔrt,daːr,do,,,,aˈko.lo,ɐ.ˈi,,,,ˈsːæːl,,,ˈseɑl,ˈotː,,ɑjnˈtɛʁ,ˈtoppe,ɛːmː,,ˈsigæ,,,unˈdɑ,dɛːr,,tʰɛkʰ,,,,,,tʰiː˥˩.nan˥˩,nan˥˦,hòm̥à,,tùɾ,,ˈtuolːɑ,,,,,tam,ˈtamu,tam,,la,ˈsæːl,ˈəna,ənʲˈʃɪnʲ,,,,ikʰ,,,,ˈtám,,aˈʎi,e̞ˈci,ˈsiːnæ,,,,ɛkʰ,,tat
