,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
ht,N/A,27.5,N/A,N/A,12.65376,25.20833,19.64285,24.04166,23.52083,N/A,N/A,N/A,22.58432,23.625,24.82142,23.06547,23.08333,40.0,33.0,N/A,24.48148,N/A,21.72867,27.26719,26.41269,N/A,28.57142,N/A,23.78472,N/A,N/A,N/A,18.25,23.15656,N/A,29.38762,24.62121,23.41666,25.68601,22.85714,23.61904,23.27827,N/A,23.61111,26.04166,N/A,23.44444,23.75,22.65734,N/A,N/A,N/A,19.375,24.5238,10.71428,23.51851,N/A,N/A,29.61111,25.93452,24.24404,23.84523,27.20219,32.99242,N/A,25.52248,21.47916,N/A,23.57638,N/A,N/A,N/A,N/A,26.05555,N/A,9.82142,28.28125,28.125,N/A,26.91558,26.0,N/A,26.25446,26.50793,27.08333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,25.74603,13.55555,N/A,17.70502,19.32539,23.3201,22.93154,23.1436,22.57539,24.80317,N/A,N/A,20.33603,22.27072,20.88789,18.44191,23.15652,N/A,22.35714,N/A,21.05158,26.81547,22.17532,18.09553,21.26041,N/A,22.16468,N/A,22.35281,25.83333,N/A,N/A,23.1363,24.78158,29.0,24.05045,21.42746,22.6962,22.98214,21.82589,23.29241,24.68272,N/A,25.72089,25.91991,17.22222,23.31448,20.35069,25.17361,24.28571,N/A,21.11111,25.5,22.386,24.375,20.89351,22.27777,24.04365,22.38514,14.93948,24.20075,20.37202,22.88506,23.01976,N/A,12.8988,19.11353,N/A,21.63764,34.16666,N/A,30.53571,30.85,20.9246,N/A,19.77182,23.66726,21.68253,N/A,20.07738,18.57142,N/A,5.0994,21.21464,22.25378,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba,22.58567,22.10214,25.91666,25.47862,22.71894,23.65474,24.98551,23.92487,22.16129,21.18967,26.78571,34.0,20.67277,24.10033,23.22935,22.87053,23.12922,1.25,6.5049,20.71428,22.58963,27.98752,23.52127,23.81087,24.30288,22.0,23.2497,13.0,22.62476,20.0,26.66666,12.5,23.64121,22.66296,12.5,23.19148,23.18477,23.26126,24.00749,24.41402,22.32227,24.98165,N/A,23.3124,21.93324,23.33176,22.2502,22.22619,23.88666,21.17989,22.14285,24.5625,22.99391,24.26179,22.11666,23.14575,28.13273,23.49367,22.8809,23.02355,24.77467,23.6075,23.00332,23.63918,21.4652,23.80784,23.00812,N/A,22.06901,21.66666,20.98148,29.31679,26.31473,21.93302,25.625,23.54429,12.12175,11.13322,25.625,22.78331,20.47222,20.625,22.4664,23.13563,22.65684,28.90625,22.73333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug,20.1365,21.03741,20.0,23.25,23.54803,22.71828,23.3806,24.45157,23.28479,23.13822,25.57142,N/A,19.7541,26.23413,21.7034,23.04609,24.51288,0.0,6.63333,16.42857,23.80308,28.75496,25.13424,24.7124,22.52182,15.0,22.62053,N/A,23.30364,35.0,N/A,N/A,25.42064,23.26652,9.16666,23.21886,24.44243,22.51195,21.37389,24.34523,23.6283,22.94512,29.16666,21.32624,22.73235,20.27301,23.58906,20.83478,25.02991,22.77409,22.85714,25.0,20.09027,24.03421,18.75,25.87892,23.39682,22.57705,23.73145,22.27544,24.32722,22.43497,22.9802,25.57205,28.18181,21.10253,23.27628,N/A,22.3963,19.5238,N/A,22.23571,23.075,20.38845,N/A,21.9031,7.29655,7.80553,18.0,21.2658,20.81666,N/A,22.07553,23.84392,24.53225,26.04166,26.07142,9.89155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,23.0,17.14285,12.0,N/A,22.18253,20.14285,25.77777,23.55555,23.42857,22.5,N/A,N/A,22.90476,16.5625,24.0,16.09722,21.42857,N/A,N/A,N/A,21.14583,32.85714,21.38888,15.37037,25.0,27.0,21.30952,N/A,19.55555,N/A,N/A,N/A,17.84722,28.69047,N/A,17.27678,20.64814,20.86805,26.25,N/A,23.5,27.38425,N/A,N/A,21.05555,16.0,21.0119,27.0,19.49074,25.15873,22.85714,30.0,24.375,27.72222,N/A,20.0,22.0,20.0,23.21428,15.29761,22.95833,24.2037,20.55555,28.125,N/A,21.66666,18.05555,N/A,22.85714,21.42857,N/A,26.0,24.0,19.66666,N/A,18.75,25.41666,25.55555,N/A,28.75,23.33333,N/A,20.80952,19.0119,22.61904,N/A,19.0,23.05555,24.72222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,N/A,N/A,N/A,N/A,17.5,21.66666,23.5,18.125,20.0,N/A,N/A,N/A,27.5,21.66666,N/A,N/A,18.125,N/A,19.375,N/A,18.125,N/A,24.44444,N/A,N/A,N/A,21.11111,N/A,25.0,N/A,N/A,N/A,25.0,N/A,N/A,13.125,19.5,18.125,19.375,N/A,16.25,21.5,N/A,23.57142,22.22222,N/A,26.66666,27.5,25.0,N/A,N/A,N/A,N/A,22.0,N/A,N/A,N/A,23.75,24.28571,21.42857,27.22222,21.875,22.5,22.5,N/A,21.42857,25.5,N/A,22.22222,N/A,N/A,N/A,30.83333,20.0,N/A,N/A,25.71428,18.75,N/A,28.0,N/A,N/A,N/A,15.625,27.5,N/A,N/A,16.875,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk,20.27777,20.42857,25.0,25.0,21.67162,23.77821,23.53739,26.07638,24.14097,22.00396,N/A,28.0,20.10604,25.62414,21.65039,23.63293,23.97445,5.0,6.38888,N/A,24.03798,N/A,24.67195,25.92103,26.86366,N/A,24.04232,N/A,22.33471,21.0,23.33333,15.0,25.15094,22.50487,8.33333,25.33799,25.54207,24.06873,23.47362,19.96598,22.34764,25.56926,N/A,19.99757,25.34288,21.25,23.89132,21.87936,27.16342,17.66666,N/A,N/A,18.53174,24.60804,20.0,25.56749,26.25,21.88921,23.01237,20.45059,25.59308,21.32027,23.52182,24.33968,25.16233,21.88723,22.6771,N/A,23.84553,N/A,N/A,25.80555,27.43333,21.05018,16.875,24.94554,5.2994,5.37672,N/A,21.35076,20.83333,9.54545,22.33296,23.54446,24.25823,24.25,24.51339,10.97681,5.44791,30.83333,16.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mjt,26.07129,20.84533,24.79166,21.51909,22.64745,19.14497,25.77354,18.20965,20.04873,21.25701,15.38461,35.625,23.46936,18.48901,24.15015,22.36736,17.59138,22.20643,23.85075,21.25,18.714,26.29017,19.65174,20.44927,24.61033,20.83333,18.97064,23.75,21.13047,22.85714,19.0,23.125,20.75085,20.77357,29.28571,16.03664,20.05779,18.89969,23.76463,26.26286,22.89096,25.37052,20.71428,22.13985,19.9352,19.0707,20.11334,23.97462,19.14839,22.37103,20.0,23.33333,22.66356,24.29935,24.07787,21.14057,25.88888,23.41946,18.82801,20.95267,26.00327,22.96369,21.63365,22.77517,21.91666,20.88156,21.62629,10.0,21.18829,18.63095,20.5,24.87301,31.53787,22.03661,18.75,22.77679,22.58966,22.53377,N/A,21.3688,21.15115,20.0,21.86016,21.9794,22.05128,28.66402,21.32671,23.99164,24.39426,15.35714,23.125,26.17968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vi,25.14561,22.00145,29.94642,21.67518,22.80151,24.73703,20.02584,24.00183,22.97839,23.51136,27.16666,25.0,23.12413,24.52307,23.89383,22.30634,23.96883,25.24652,23.02061,18.38624,23.02013,24.97023,24.51697,23.44883,24.45772,22.0,23.4314,19.0625,23.71828,26.66666,30.71428,20.55555,24.50693,24.37417,12.5,22.68228,23.76983,25.22255,25.74157,22.31695,22.81467,23.00625,14.28571,22.55516,23.47359,22.33851,24.17834,21.40899,25.0792,23.69405,20.0,24.5,24.29687,20.92523,23.02408,24.08236,27.20119,22.55714,24.35671,22.44009,24.6395,22.91104,24.70488,25.02842,24.86111,22.98086,23.03822,23.63636,23.12789,18.21428,22.39583,25.51719,26.20793,21.97466,19.44444,24.0033,22.93174,23.08149,27.5,23.97588,20.29123,23.63636,23.89174,24.90142,25.52464,24.17708,22.54761,23.81802,23.6838,22.80952,21.42857,21.67063,24.56922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xub,24.12579,22.37552,24.70238,19.25331,23.17105,16.30619,24.15937,15.31124,21.0146,21.86016,20.83333,32.77777,23.48623,15.53587,24.18141,22.92654,13.23534,31.12772,23.95393,26.11111,17.69074,27.11507,20.48111,21.2915,26.1913,22.5,19.26588,25.5,22.05479,28.33333,22.22222,23.75,21.61051,20.34599,25.0,15.9387,20.52412,18.70053,24.16036,26.57862,24.34787,25.44638,16.42857,23.2178,20.15471,19.0,20.61472,24.57089,18.94162,22.44125,18.75,27.5,22.46212,24.09014,23.76302,21.98402,22.71428,23.37853,18.98233,22.6042,25.12575,24.66535,23.0185,23.05206,17.62152,22.12385,22.29703,10.0,21.9596,15.87962,19.0,28.51587,28.5137,21.75609,9.375,21.26775,23.39522,22.2805,N/A,21.93446,21.33232,21.5,24.05493,22.85538,22.62887,28.19444,24.45767,23.87613,25.25176,18.57142,19.375,25.0047,18.01439,24.77532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,24.45578,19.60173,19.70899,19.23964,14.4313,20.66644,25.30207,19.66654,17.75307,18.68553,19.6875,30.625,22.99184,20.19762,21.26739,21.26533,20.05297,21.51041,23.03125,14.46794,20.72794,25.33124,10.88433,18.58602,23.68441,16.25,19.15083,20.10101,19.7541,N/A,25.0,26.11111,13.07955,20.72415,27.5,20.44673,17.34473,21.53291,22.55534,20.05121,21.39093,25.63844,19.0,21.60235,21.53959,10.94685,20.00009,23.07167,19.53126,22.08409,19.58333,16.25,19.34023,24.99829,20.72745,12.93897,24.02335,22.44107,20.98955,20.70953,24.08764,21.62243,20.62464,21.11055,14.45601,21.49759,14.77111,18.33333,18.92522,23.65079,20.94011,25.39682,26.58796,24.36012,12.77777,13.79723,22.6073,22.34516,23.33333,21.52314,19.4582,21.04545,21.22244,20.16688,20.0327,21.59989,20.7511,23.27911,25.7978,16.58333,27.5,24.69134,18.93467,25.09435,20.73676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tg,28.89488,12.57487,19.30952,22.58516,20.33599,21.45259,23.6805,20.93731,20.13069,19.35007,17.32142,29.0,20.33073,21.30204,20.54864,20.96707,21.15518,18.18181,21.94861,17.85714,21.62476,19.46428,20.23461,19.71734,22.28979,15.0,22.47647,N/A,20.13741,7.5,N/A,11.11111,20.04092,20.75479,19.28571,20.97388,19.92436,20.47163,21.91694,19.84848,18.77887,24.17629,N/A,20.54406,20.35715,19.31415,20.61786,21.59785,22.28763,22.67797,22.42857,25.9375,21.15249,23.31397,16.73611,20.90748,23.16666,21.31317,19.88509,19.61991,23.30617,20.74981,21.76803,22.53443,21.13095,20.35811,19.61137,16.11111,20.14547,15.71428,16.05555,27.80224,22.99404,21.03788,15.55555,19.20347,20.29853,19.35938,N/A,18.75295,15.58184,21.0,17.97598,21.93506,20.74343,25.0,16.32341,21.69712,17.84784,18.69047,N/A,20.62103,21.55725,22.72808,22.12955,19.84756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rw,31.25,N/A,N/A,18.02777,26.52525,20.60934,29.55555,20.34003,23.87731,21.22222,N/A,N/A,28.65785,21.83487,24.48705,24.8357,19.97802,N/A,32.8409,N/A,22.16901,N/A,21.04714,23.6923,30.0505,N/A,19.32336,24.5,22.19246,26.42857,N/A,N/A,22.91689,23.4539,N/A,20.98379,21.50662,21.70682,28.40505,27.13354,27.2522,29.92388,N/A,27.16203,26.88383,N/A,21.98142,24.25925,19.27695,31.66666,N/A,N/A,19.5,29.37047,23.88888,21.53061,23.09027,24.11818,25.63311,30.17904,27.28472,26.91666,22.3846,24.45761,31.5,24.375,22.02171,N/A,22.65551,N/A,N/A,36.42857,32.85714,24.66607,N/A,27.31111,26.81538,22.93253,N/A,27.62747,25.17045,N/A,27.79545,22.12491,23.66777,38.0,22.22222,28.21572,29.28571,N/A,N/A,26.98547,18.73701,28.84548,20.16481,21.18575,25.16507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kn,24.17792,20.68147,25.83333,18.11899,22.80176,14.69865,23.15867,12.21019,21.70527,21.14092,21.66666,30.0,23.57533,13.13911,23.40609,23.00318,11.6374,25.43055,21.65483,28.88888,17.7252,24.92784,20.31833,20.16664,25.85245,25.83333,18.66357,28.75,21.41141,30.83333,25.0,23.75,21.03885,20.04998,24.375,16.43872,18.99971,17.2247,23.69885,23.36663,23.79702,24.77213,21.25,21.8794,20.63614,19.43602,20.37882,24.63271,19.02629,21.91053,19.375,31.66666,22.27249,23.85219,19.23462,20.71229,22.3492,23.07844,18.72115,21.60519,25.70895,24.06809,22.05624,22.69711,15.78125,21.65496,21.82942,15.0,21.61423,20.625,19.44444,26.52976,31.03354,21.40398,6.875,21.54986,23.16329,21.99077,N/A,21.43276,21.25364,24.0909,23.46475,22.64562,22.41255,22.84126,24.31128,23.80511,25.10849,18.71428,18.75,25.20786,17.27922,24.71281,14.24635,19.87867,21.76274,20.66233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mt,26.59722,21.19179,19.5,23.89632,22.29446,21.87159,23.83969,21.96785,21.6152,22.1335,17.39583,23.0,21.97493,21.87379,20.9275,21.34726,22.81727,25.24007,19.28863,8.63636,21.67031,N/A,22.69854,22.32049,24.29623,27.0,22.42718,14.0,20.58435,N/A,N/A,21.25,22.15193,14.33785,20.83333,20.27802,21.15953,22.38614,23.4751,22.63629,22.96158,23.88153,N/A,22.67973,21.65263,21.98674,22.7175,22.12904,21.64691,17.56845,20.0,23.5,20.93809,24.70382,22.13541,24.50839,32.77777,23.08488,21.77322,22.21512,24.93557,21.31349,21.83126,22.60076,27.27678,22.16037,22.06935,23.57142,21.06862,22.85714,N/A,25.16666,28.57539,22.34867,26.25,22.49334,21.54032,20.15608,N/A,21.86532,15.0,18.18181,21.18821,22.03531,22.53083,21.875,21.08035,22.1496,20.54104,18.75,16.11111,20.88995,22.29785,24.09939,22.65758,22.81796,20.15599,23.76262,22.71221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcy,22.78869,20.89082,24.58333,17.94586,21.95562,16.77051,24.74558,14.69706,20.98306,20.38334,18.75,32.22222,23.94954,16.08166,22.82422,23.44267,13.94503,24.69462,21.38345,28.88888,18.13467,22.8745,18.52507,19.41965,25.56786,25.0,19.25545,22.22222,21.23754,28.33333,25.625,23.75,20.65782,20.33374,25.0,17.17539,19.07174,17.99636,22.4634,23.11077,22.22508,24.9113,21.25,23.5727,20.75724,19.77272,19.77902,24.40452,19.24594,22.87037,18.125,30.0,20.62462,24.55658,18.7624,19.99828,24.88888,23.36849,18.61455,21.86795,26.11572,23.77638,21.62476,22.57833,20.15873,22.87758,21.41602,18.33333,21.39354,19.86111,19.44444,25.88194,30.21374,22.80464,6.875,22.0,22.44406,21.59952,N/A,20.2281,19.57407,24.0909,23.2981,21.61219,21.77506,24.0,21.69642,23.43191,25.04474,19.85714,18.125,25.16741,18.67761,25.03842,16.26256,18.1277,20.77512,19.41308,14.02487,21.49794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ty,N/A,N/A,N/A,N/A,10.71428,32.5,N/A,20.625,22.5,N/A,N/A,N/A,14.375,23.75,17.14285,N/A,17.14285,N/A,N/A,N/A,14.28571,31.66666,19.375,N/A,N/A,N/A,N/A,N/A,22.5,N/A,N/A,N/A,20.0,22.85714,N/A,19.28571,N/A,20.0,10.71428,N/A,N/A,23.0,N/A,25.0,22.5,N/A,N/A,20.71428,21.25,N/A,N/A,N/A,N/A,22.5,N/A,16.875,N/A,20.625,20.625,N/A,21.25,N/A,21.11111,N/A,N/A,19.28571,23.125,N/A,21.25,N/A,N/A,N/A,N/A,22.5,N/A,21.25,22.5,N/A,N/A,20.83333,18.33333,N/A,20.83333,22.5,25.0,N/A,N/A,23.33333,22.5,N/A,N/A,N/A,19.28571,26.66666,26.11111,24.44444,24.16666,N/A,28.88888,N/A,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xmf,24.3127,23.16817,33.10763,22.52531,23.14023,22.97683,26.62895,21.30663,22.63649,23.04847,24.71153,32.22222,25.44364,21.98784,25.98209,24.09582,21.23803,24.99368,23.83686,19.59523,23.05818,26.26984,22.58248,22.40676,26.00614,3.75,22.00679,23.25,23.26596,36.42857,19.0909,30.0,22.80034,22.98765,25.71428,20.91175,22.04635,22.89691,24.02769,26.56927,24.20603,27.37635,10.0,24.75071,23.36885,19.88554,21.58774,25.65662,22.24871,23.71611,32.29166,21.375,20.63455,26.20355,28.28493,23.38284,25.56607,25.2804,22.76725,23.33408,26.85344,24.49826,23.80593,25.20717,19.48611,22.47546,23.39821,19.375,23.19308,20.90277,24.18693,25.46075,28.54972,25.69249,14.375,24.09846,24.64483,23.33013,31.42857,23.19948,24.23892,21.02777,22.75122,24.00634,24.21726,22.71875,25.2922,25.17495,25.09888,24.38888,20.83333,26.21633,21.40085,26.59698,22.02322,21.26182,23.84444,22.7556,21.38559,24.74551,20.81847,28.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy,25.79189,18.9883,24.89732,26.30762,21.90305,23.55528,24.62286,23.73616,20.96774,21.55472,23.02197,32.14285,22.3547,23.46354,22.07021,21.85936,23.70187,19.9071,22.54582,18.01587,22.31596,23.68962,21.52212,22.87502,22.57852,20.0,21.4102,21.96428,22.46287,29.0,18.33333,11.11111,21.78608,22.7316,37.5,22.18117,21.99726,23.63373,24.48395,20.05238,20.72614,25.78955,23.57142,21.50558,22.296,20.09746,23.23761,23.19202,22.78157,23.12647,17.85714,21.0,21.47358,24.0946,17.8373,22.95942,25.09237,22.55028,22.3923,21.12341,23.78092,20.86183,22.23878,23.46269,23.28042,22.78604,21.97178,20.71428,21.89439,20.87301,20.84139,25.58575,24.42187,22.49857,16.66666,19.81239,22.50991,22.32409,19.58333,21.60087,19.14583,25.83333,21.69844,23.43684,23.39552,29.18898,21.47857,22.88037,23.33552,24.83134,22.14285,23.24769,23.58599,23.85802,23.53034,22.31416,19.30997,26.97837,23.93639,22.54893,23.26841,18.57142,24.79846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,22.94667,19.43553,21.01785,21.5429,16.79081,21.63435,25.03336,21.37698,18.84249,20.39341,22.0202,31.875,22.65128,21.60696,21.68892,21.39172,21.30056,24.57296,22.87922,17.625,21.6885,24.74206,15.2929,19.27688,23.35729,21.0,19.64672,22.0625,20.65192,22.0,18.88888,25.83333,16.9333,21.78542,30.0,20.70278,17.41843,22.05697,23.15235,21.65213,22.72362,25.2098,26.42857,22.42013,20.69622,12.55723,20.31217,22.12751,21.19899,21.70634,18.92857,19.77272,20.26325,24.34889,22.14036,16.12165,24.61661,21.76386,21.23073,21.63812,23.31403,20.42556,20.01454,21.20848,18.47222,22.06348,15.00872,24.54545,19.34588,23.5119,18.94877,29.62275,26.65538,23.47062,32.5,14.60304,22.82884,22.87531,25.0,21.74227,21.39361,20.0,21.99901,21.77473,20.76767,27.07589,20.34789,22.80778,23.88037,20.83333,22.22222,23.19808,21.1531,24.92916,21.72859,14.09108,20.33386,22.3696,20.92827,22.76198,21.2672,19.375,23.16179,22.66818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et,28.30357,22.74553,40.83333,18.125,24.4905,22.53479,23.64087,20.13546,22.25269,24.44469,29.0909,N/A,18.09201,22.19554,22.30084,20.09689,20.66365,N/A,16.36904,N/A,21.61772,N/A,24.52367,24.5205,21.31887,N/A,24.53968,N/A,22.93631,N/A,27.5,N/A,23.23484,25.06296,N/A,21.53614,21.68981,20.64529,22.92042,21.36363,22.75297,24.94861,N/A,17.68452,21.51913,29.6875,10.59384,24.97519,24.07142,15.0,N/A,29.375,24.79166,23.36776,N/A,26.85966,N/A,22.28214,19.84275,19.04761,22.80442,20.8098,23.77502,23.36327,N/A,22.95568,22.46064,18.75,23.16794,N/A,N/A,N/A,N/A,19.5329,N/A,28.10648,23.34737,19.82057,N/A,23.26388,19.73214,31.875,21.85557,22.98531,23.7926,27.5,18.21428,22.392,30.17857,13.75,N/A,27.56944,21.82457,25.15386,21.88204,24.37053,20.54304,23.16666,21.07463,23.35736,19.33267,N/A,22.04713,23.92013,23.67866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm,N/A,16.80555,N/A,21.11111,22.00892,17.10317,30.0,19.88888,20.35714,N/A,N/A,N/A,21.77083,17.10317,N/A,23.47222,15.31746,N/A,21.0,N/A,25.625,21.875,20.89285,22.5,20.0,N/A,N/A,N/A,20.91269,N/A,N/A,23.57142,16.85714,15.5303,N/A,20.0,20.5,19.02777,30.08333,N/A,24.50892,22.36607,N/A,23.57142,23.88392,N/A,25.88888,25.22321,27.27272,N/A,N/A,N/A,19.0,23.125,N/A,17.0,N/A,22.42063,19.32142,29.27083,22.14285,29.375,24.375,19.54545,N/A,28.02083,18.5,N/A,20.35714,N/A,N/A,24.0,35.0,16.45833,12.85714,21.42857,24.0,27.85714,N/A,16.75,N/A,N/A,28.0,20.63492,20.27777,N/A,19.5,26.75,N/A,N/A,N/A,25.71428,20.35714,24.24107,16.26984,18.50694,17.15277,N/A,15.31746,27.14285,15.31746,N/A,21.60714,19.375,26.81818,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,23.40177,21.62848,26.42857,19.35491,23.22508,17.60066,24.58034,16.97874,22.10947,22.81309,17.08333,36.66666,24.39527,17.3355,24.86015,24.01818,16.36645,26.38095,23.65362,21.875,17.71541,21.58035,20.3332,20.37691,26.04595,25.0,19.53959,33.75,22.18374,30.83333,26.11111,25.0,21.60587,21.51087,23.75,16.95541,19.51408,15.24263,24.32844,24.87638,24.1596,25.63289,38.0,23.87607,20.81452,18.28008,20.4535,24.39115,20.31918,22.38511,16.875,28.33333,23.12235,24.8543,22.2743,21.43471,23.82142,26.07439,15.91675,21.80434,27.10791,24.18179,22.95865,23.18564,18.08035,22.77267,22.40624,13.33333,22.77326,19.16666,18.33333,27.11111,31.33621,21.26157,17.5,22.38051,24.61271,22.68533,N/A,22.24485,23.72089,23.18181,23.43186,22.74719,22.95603,24.64285,25.33653,24.26305,23.85232,18.25892,17.22222,27.14242,17.79641,25.43991,18.11388,20.84455,21.53886,20.49908,14.89748,22.51879,16.59572,22.5,22.48538,23.98673,20.99112,21.64847,17.73809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jv,N/A,N/A,N/A,N/A,N/A,23.125,N/A,27.77777,N/A,N/A,N/A,N/A,21.42857,25.55555,24.375,N/A,30.0,N/A,N/A,N/A,16.25,N/A,21.66666,N/A,N/A,N/A,N/A,N/A,18.125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.75,32.85714,N/A,N/A,29.5,N/A,N/A,23.88888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.0,N/A,20.55555,N/A,N/A,12.5,N/A,28.33333,N/A,21.0,20.0,N/A,28.75,11.25,N/A,18.125,N/A,N/A,N/A,N/A,29.28571,N/A,N/A,25.71428,N/A,N/A,26.11111,N/A,N/A,N/A,15.625,18.125,N/A,N/A,20.83333,N/A,N/A,N/A,N/A,26.25,23.63636,23.5,20.0,30.0,N/A,20.625,27.85714,13.125,N/A,23.5,26.11111,21.66666,16.25,N/A,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml,24.69403,20.80207,24.5,20.47118,22.76486,15.99661,25.59439,14.49389,21.78271,21.05453,17.08333,30.0,23.91935,10.22883,23.06546,23.15162,13.64899,25.40214,21.80933,26.11111,19.11015,23.09722,20.77896,19.55944,24.97902,19.0,20.3288,30.5,21.90859,31.875,21.66666,20.625,21.64576,20.51063,24.375,18.69607,20.09517,18.6628,23.42374,25.31185,22.31726,25.30636,38.0,23.87128,21.22375,20.52612,21.42442,23.60173,20.1686,22.16269,20.0,24.0,21.32954,24.53138,22.84848,21.44419,27.17857,22.84903,19.05861,22.97684,25.8943,23.4806,22.03667,22.71506,18.125,22.70148,22.43777,27.0,21.94681,18.77976,15.0,28.41468,31.22222,22.02686,15.0,20.97815,23.21655,21.55655,N/A,20.48309,20.52694,21.11111,23.29622,22.1126,22.11749,25.45833,25.69252,23.5299,25.75501,16.14583,21.66666,25.00782,19.6178,25.17043,17.10867,19.67223,20.58415,22.75695,13.75627,22.75011,14.41837,23.75,21.45657,24.02502,21.47399,21.64324,18.88392,16.06722,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv,24.79503,18.72247,27.58928,26.08357,20.0343,21.73846,23.56154,22.30699,17.03975,19.09343,14.44444,29.375,21.43881,22.42474,20.54016,20.32952,22.07957,23.19444,22.54232,15.80357,21.38785,21.3,20.05179,20.89892,22.55706,28.75,19.42078,N/A,17.08673,29.28571,20.55555,23.75,19.96605,20.7949,24.0,21.55385,19.71718,23.27124,23.29967,22.06587,21.76013,24.18924,27.14285,21.65483,21.2045,18.90232,20.92395,19.22546,21.16987,22.19318,30.83333,21.38888,21.66369,22.70561,18.26388,21.42735,27.14175,21.1799,20.62989,21.43721,22.72477,20.65689,20.41082,21.26212,19.09442,21.38749,19.25207,N/A,16.95351,24.16666,18.28703,30.92261,27.84798,22.39953,12.5,16.10707,21.70337,21.10592,N/A,21.06311,21.78463,22.91666,20.97629,18.51368,18.24468,23.01785,20.25595,22.16872,21.89578,20.98148,25.0,23.92261,21.68988,23.1553,22.75916,20.02627,20.49809,23.86311,22.21719,22.51492,21.97956,N/A,23.57747,21.52225,19.38551,24.03948,21.86507,22.07292,24.0,22.14162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
