word,pl,cy,de,lt,ru,gv,el,xmf,te,yi,lzz,da,es,is,it,sva,ka,sl,oc,sv,br,fo,ga,pt,nl,lv,sk,bg,be,gd,af,ro,fy,ca,hy,gl,mk,no,sq,cs,fr,uk
full,ˈpɛw.nɨ,ɬau̯n,fɔl,,ˈpolnɨj,lɛdn,ˈpliris,ɛpʰʃä,,,jɔpʰʃä,fuld,,ˈfʏtɬʏr,ˈpjɛno,gwɛʃi,sävsɛ,ˈpɔ́ːwn,,fɵl,,ˈfʊtlʊɹ,l̪ˠɑːnˠ,ˈʃɐj.u,vɔl,pīlns,pl̩niː,ˈpɤlɛn,ˈpou̯nɨ,lɑːn,fɔl,plin,,ˈplə,ˈlikʰə,ˈt͡ʃeo̝,,,,pl̩niː,plɛ̃,ˈpɔu̯nei̯
not,ɲɛ,dɪm,nɪçt,,nʲɪ,,ðe̞,vär,,nit,vär,ekə,no,ˈɛhcɪ,non,dɛmɛ,är,ˈnɛ́,,ˈɪnˌtɛ,,ˈɪʰtʃːɪ,n̠ʲiː,nɐ̃w̃,nit,,,nɛ,nʲe,,ni,nu,ˈnɛt,ˈno,t͡ʃʰ,ˈnʊŋ,,²ɪçːə,nʊk,nɛ,nə,ˈnɛ
dig,ˈkɔ.pat͡ɕ,,ˈɡʁaːbən,,kɐˈpatʲ,,,ntʰχɔruä,,,ɔntʰχɔru,ɡraːvə,ekskaˈbaɾ,,skaˈvare,libərdʒɛ,tʰχrä,kɔˈpàːti,,,,,ˈt̪ˠɔxəlʲ,,ˈɣraːvə(n),ɾakt,ˈkɔpac,,,,,,,kəˈva,pʰɔˈɾɛl,eskaˈβaɾ,,,,ˈkopat,kʁø.ze,
breathe,ɔdˈdɨ.xat͡ɕ,anˈadlɨ̞,ˈaːtmən,,dɨˈʂatʲ,,a.naˈpne.o,,,,ɔʃvänu,ɔnə,,ˈanta,respiˈrare,liχwäntʼɛ,suntʰkʰvä,,,,,,,ʁɨʃ.pi.ˈɾaɾ,ˈaːdəmə(n),,ˈdiːxac,,,,,,,rəs.piˈɾa,ʃənˈt͡ʃʰɛl,,,,,ˈdiːxat,ʁɛs.pi.ʁe,
foot,ˈstɔ.pa,troːɨ̯d,fuːs,,nɐˈɡa,,ˈpoði,närtʃäkʼutʃχi,,fʊs,tʼäbu,foːd,pje,,ˈpjɛde,lägæäm,tʼɛrpʰi,stɔˈpàːlɔ,pɛ,fuːt,,ˈfɔuːtʊɹ,kɔsˠ,ˈpɛ,vut,,ˈnɔɦa,stəˈpalo,naˈɣa,kʰas,,piˈt͡ʃjor,,ˈpɛw,vɔtkʰ,ˈpɛ,,fuːt,kəm.bə,ˈnoɦa,pje,
kill,zaˈbʲi.jat͡ɕ,ɬaːð,ˈtøːtən,,ʊbʲɪˈvatʲ,,skoˈtono,ʔviluä,,ˈtɛjtn̩,ɔqʼvilu,,maˈtaɾ,ˈtrɛːpa,utˈt͡ʃi.de.re,lidgæri,kʼvlä,uˈbìːti,,ˈdøːda,,,ˈmˠaɾˠə,ma.ˈta(ʁ),ˈdoːdə(n),nâːvɛ̂ːt,ˈzabic,oˈbivəm,,maɾav,,omoˈrɨ,,məˈta,spɑˈnɛl,,ˈubiva,,,ˈzabiːt,ty.e,
tongue,ˈjɛ̃.zɨk,ˈtavɔd,ˈtsʊŋə,,(j)ɪˈzɨk,ˈtʃɛnʲə,ˈɣlosa,ninä,,tsʊŋ(ɡ),nɛnä,tɔnɡə,ˈlenɡwa,ˈtʰuŋka,ˈliŋ.ɡwa,nin,ɛnä,ˈjɛ̀ːzik,ˈleŋɡo,ˈtɵŋˌa,ˈtɛwt,ˈtʰʊŋka,ˈtʲaŋə,ˈlĩ.ɡwɐ,tɔŋ,mɛ̀ːlɛ,ˈja.zik,ɛˈzik,jaˈzɨk,tʰʲɛŋɡə,,ˈlimbə,,ˈʎəŋ.ɡwə,lɛˈzu,,ˈjazik,,ˈɟʑuhə,ˈjazɪk,lɑ̃ɡ,jɐˈzɪk
who,ktɔ,puːɨ̯,veːɐ̯,,kto,,,mi,,,min,vɛm,ˈkjen,xʷɛːr,k̟i,jær,vin,ˈɡdòː,,,piv,kvøːr,ceː,kẽ(j̃),ʋi,,kto̞,kɔj,xto,koː,,,,ˈki,ɔv,,kɔj,,kuʃ,ɡdo,ki,ˈxtɔ
knee,kɔˈla.nɔ,,kniː,ˈkʲæ̌ːlʲɪs,kɐˈlʲenə,ɡlʲuːnʲ,ˈɣɔnatɔ,birguli,,knɪ,burgili,,roˈdiʎa,n̥jɛː,dʒiˈnɔkkjo,kʰutʰul,muχli,kɔˈlèːnɔ,(d)ʒeˈnul,,ˈɡliːn,knɛaː,ɡl̪ˠuːnʲ,ʒu.ˈe.ʎu,kni,tsɛlis,ˈkɔlɛnɔ,koˈlʲano,kaˈlʲena,,,dʒeˈnunkʲ,,ʒəˈnoʎ,t͡suŋk,ʃeˈonʎo̝,,,,ˈkolɛno,ʒə.nu,
smell,ˈza.pax,,ɡəˈʁʊχ,,ˈzapəx,,miɾoˈðʝa,ʃuräpʰä,,,ɔʃuru,loɡt,,lɪxt,oˈdo.re,likʰwni,qʼnɔsvä,,,,,,,ˈʃɐj.ɾu,ɣøːr,,,,pax,,,,,oˈlo,hɔt,,,,ɛːɹ,ˈvuːɲɛ,ɔ.dœʁ,
with,s,a,mɪt,sʊ,s,,me̞,tsʼkʼɛlä,,,kʼälä,mɛd,kon,,kon,tsäχæn,tʰän,s,,meː(d),,viː,lʲɛ,kõ,mɛt,,s,sɤ,,,,ku,,əmb,hɛt,ko̝ŋ,,meː,mɛ,s,a.vɛk,z
cloud,ˈxmu.ra,ˈkʊmʊl,ˈvɔlkə,,ˈobləkə,,ˈsinɛfɔ,munäpʰä,,,pʼulä,,,sciː,ˈnu.vo.la,mɛrɛ,ʁrubɛli,ɔˈbláːk,,,ˈku.mul,skʊt͡ʃː,ˈsˠkamˠəl̪ˠ,ˈnu.vɐj̃,ʋɔlk,,,,ˈxmara,ɲiaɫ̪,vɔlk,nor,,,ɑmp,,,ʃyː,,mrak,ny.aʒ,
when,ˈkʲɛ.dɨ,prɨːd,van,kɐˈdɐ,kɐɡˈda,,ˈpote,muʒäms,,,mundɛs,vɔrnɔːr,ˈkwando,,ˈkwando,ʃɔmä,rɔdis,ˈɡdàːj,,,,,kəˈhɪnʲ,ˈkwɐ̃.du,ʋɑˈneːr,,,,,,,kɨnd,,ˈkwan,jɛɾpʰ,,ˈkɔɡa,,,ɡdɪ,kɑ̃,kɔˈlɪ
some,ˈtrɔ.xɛ,,,,nʲɪˈmnoɡə,,,nämtʰinɛ,,,bäzi,noən,,,,ɛrχi,zɔgi,,,ˈnoːˌ(ɡ)ra,,,ɾˠəɪn̠ʲtʲ,al.ˈɡũʃ,ʋɑt,,ˈɲi̯ɛkɔʎkɔ,,,,,,,,,,,,,ˈɲɛkolɪk,dy,ˈkilʲka
new,ˈnɔ.vɨ,ˈnɛu̯ɨ̞ð,nɔʏ̯,,ˈnovɨj,,ˈne̞o̞s,äχäli,kotːa,,äʁäni,nyː,ˈnwebo,niːr,ˈnwɔ.vo,mäχɛ,äχäli,ˈnɔ́w,,ny,ˈne.ve,nʊt͡ʃːʊɹ,n̪ˠuə,ˈno.vu,niu̯,jaûns,ˈnɔviː,nɔf,,uːɾ,,now,nɛi̯,ˈnɔw,nɔɾ,ˈnɔ.βʊ,,,ɾi,ˈnoviː,nu.vo,
fruit,ˈɔ.vɔt͡s,fruːɨ̯θ,fʁʊxt,ˈvai̯sʲʊs,plot,meːs,,χili,paɳɖu,fʁʊχt,χilä,frɔɡt,ˈfɾuta,ˈauːvœxstʏr,ˈfru.tːo,χil,χili,ˈsáːdɛʃ,,ˈfrɵkt,fʁwɛs,,ˈt̪ˠɔɾˠə,ˈfɾu.ta,vrʏxt,âwɡlis,ˈɔvɔt͡si̯ɛ,plɔt,,,,,,,pəˈtuʁ,ˈfɾojta̝,,,,ˈovot͡sɛ,fʁɥi,
smooth,ˈɡwat.kʲi,,ɡlat,,ˈɡlatkʲɪj,,,värkʼälä,,,pʰrändɛri,,ˈliso,ˈstljɛhtʏr,ˈliʃʃo,mərkʼənɛ,pʼriälä,,,,,,kiːnʲ,ˈli.zu,ɣlɑt,,,,ˈɣɫatkʲi,miːn,,ˈne.ted,,,hɑɾtʰ,,,,,ˈɦlatkiː,lis,
belly,bʐux,,baʊ̯x,,ʐɨˈvot,,,kʰɔrä,poʈːa,bɔɪχ,kʰɔrbä,,bäˈriɣä,ˈmaːjɪ,ˈpan.t͡ʃa,qʰæd,mutsɛli,ˈtrèːbux,,²mɑːɡɛ,ˈkofː,,ˈbˠɔlˠəɡ,bɐ.ˈʁi.ɡɐ,bœy̯k,,ˈbruxɔ,koˈrɛm,,,,,,ˈbuk,pʰɔɾ,banˈduʎo̝,mɛf,,,ˈbr̝ɪxo,vɑ̃tʁ,
hear,ˈswɨ.ʂɛt͡ɕ,ˈkləu̯ɛd,ˈhøːrən,,ˈslɨʂətʲ,,aˈkuo,rtʃkʰilä,,,ɔʃkʼinu,høːrə,oˈiɾ,ˈheiːra,,səmæn,smɛnä,,,,,,klˠɔʃ,owˈviɾ,ˈɦoːrə(n),dzìɾdɛ̂ːt,,ˈtʃuvəm,,,,,ˈjɛ(ː)rə,sənˈti,ləˈsɛl,ɔˈiɾ,,,,ˈslɪʃɛt,ɑ̃.tɑ̃dʁ,ˈt͡ʃute
child,ˈd͡ʑɛt͡s.kɔ,ˈplɛntɨ̞n,kɪnt,ˈvɐɪ̯ˑkɐs̪,rʲɪˈbʲɵnək,,peˈði,bäʁänä,paːpa,kɪnd,bɛrɛ,barn,ˈixo,ˈpartn,bamˈbi.no,bɛpʰʃw,bävʃvi,ɔˈtrɔ́k,,bɑːrn,,ˈpatn,ˈpˠɑːʃtʲə,ˈfi.ʎu,kɪnt,bæ̀ːɾns,ˈɟi̯e.ca,dɛˈtɛ,,,kənt,fiw,bɛːn,ˈnən,jɛɾɛˈχɑ,ˈne.na,ˈdɛtɛ,bɑːrn,,ˈɟiːcɛ,ɑ̃.fɑ̃,deˈtɪnɐ
earth,ˈʑɛ.mʲa,,ˈeːɐ̯də,ˈʒʲæːmʲeː,zʲɪˈmlʲa,,,diχä,,,lɛtʼä,joːr,ˈtje̞.ra̠,jœrð,ˈtɛr.ra,gim,mitsʼä,ˈzɛ̀ːmlja,,juːɖ,,jøːɹ,,ˈtɛʁɐ,ˈaːr.də,zɛmɛ,ˈzɛm,zɛˈmʲa,zʲaˈmlʲa,,ˈɑːr.də,pəˈmɨnt,,ˈtɛ.rə,hɔʁ,,,,ðɛ,ˈzɛmjɛ,tɛʁ,zeˈmlʲɑ
many,ˈvʲɛ.lɛ,,ˈfiːlə,dɐuɡ,ˈmnoɡə,,,brɛli,,aˈsax,didɔ,manɡə,ˈmut͡ʃos,ˈmarkʏr,,mäsærd,bɛvri,ʋɛˈlìːkɔ,,,,ˈmɛŋkʊɹ,əˈl̪ˠɑːnˠ,ˈmũj̃.tuʃ,veːl,dāūdz,,,,ˈiməɣ,bajə,mult͡sʲ,,ˈmolt,ʃɑt,,ˈmnɔɡu,,,ˈmnoɦo,bo.ku,bɐˈɦɑtɔ
where,ɡd͡ʑɛ,,voː,kʊr,ɡdʲe,,,sɔ,,vʊ,sɔ,,ˈdonde,,ˈdove,imɛg,säd,ˈkjèː,ˈunt,dɛːr,,,,ˈõ.d͡ʒi,ʋaːr,kùɾ,ˈɡɟɛ,,,,,ˈunde,,ˈon,vɔɾˈtɛʁ,ˈonde̝,ˈkadɛ,,,ɡdɛ,u,ˈdɛ
hunt,pɔˈlɔ.vat͡ɕ,,ˈjaːɡən,mʲɛˈdʲʒʲotʲɪ,ɐˈxotʲɪt͡sə,,,nädiruä,,,äbdʒɔbä,ˈjaːɡə,kaˈθaɾ,ˈveiːða,katˈtʃare,litʰχwær,nädirɔbä,lɔˈʋiːti,,ˈjɑːˌɡa,,,ˈʃɛlʲɪɟ,kɐ.ˈsaɾ,ˈjaːɣə(n),,,,palʲaˈvat͡sʲ,ˈʃaɫ̪ak,,,,kəˈsa,vɔɾˈsɑl,,,,,ˈlovɪt,ʃa.se,
hold,ˈtʂɨ.mat͡ɕ,dal,ˈhaltn̩,tʊˈɾʲeːtʲɪ,dʲɪrˈʐatʲ,,,däkʼinɛbä,,,ɔkʰätʃu,,aɡwanˈtaɾ,ˈhalta,teˈne.re,lirmi,dätʃʼɛrä,,,,,,ˈkɪn̠ʲə,ˌse.ɡu.ˈɾa(ɹ),ˈɦɑu̯də(n),tuɾɛ̂ːt,ˈdr̩ʒac,,trɨˈmat͡sʲ,kʰuːm,ɦœu,ˈt͡si.ne,hɔːdə,ə.ɡwənˈta,bərˈnɛl,,,,mbaj,dr̩ʒɛt,tə.niʁ,
there,tam,ˈəna,dɔrt,,tam,,e̞ˈci,tʰɛkʰ,,,ɛkʰ,dar,aˈʎi,ˈθartna,,ɛtʃɛtʃu,ikʰ,ˈtám,,dɛːr,,,ənʲˈʃɪnʲ,ɐ.ˈi,daːr,tùɾ,ˈtam,,,,dɑːr,aˈko.lo,,əˈʎa,ɑjnˈtɛʁ,,ˈtamu,,,tam,la,ˈtɑm
three,tʂɨ,triː,dʁaɪ̯,,trʲi,t̪riː,ˈtri.a,sumi,muːɖu,dʁaj,sum,,tɾes,θriːr,tre,sɛmi,sämi,ˈtríːjɛ,tres,treː,,trʊdʒɪr,tʲɾʲiː,ˈtɾeʃ,dri,trîːs,ˈtri,,,,,trej,,ˈtɾəs,jɛˈɾɛkʰ,,,,tɾɛ,tr̝ɪ,tʁwɑ,trɪ
hand,ˈrɛŋ.ka,ɬaːu̯,hant,ɾɐŋˈkɐ,rʊˈka,,ˈçeɾi,χɛ,,hant,χɛ,hɔnˀ,ˈmano,hœnt,ˈmaːno,ʃi,χɛli,rɔ̀ːka,ma,hand,ˈdɔʁn,hɔnt,l̪ˠɑːvˠ,ˈmɐ̃w̃,ɦɑnt,ɾùoka,ˈruka,rəˈka,,ɫ̪ãːv,,ˈmɨ.nə,,ˈma,d͡zɛrkʰ,,,hɑnd,dɔɹ,ˈruka,mɛ̃,rʊˈkɑ
turn,,,ˈdʁeːən,,vrɐˈɕːat͡sːə,,,rtʰäpʰä,,,ɔkʰtʰu,drajə,xiˈɾaɾ,,dʒiˈrare,lisipʼ,tʼriäli,,,,,,kɑsˠ,,ˈdraːi̯ə(n),,,,,,,,,ʒiˈɾa,ʃəɾdʒˈvɛl,,,,,ˈtot͡ʃɪt,tuʁ.ne,
freeze,zaˈmar.zat͡ɕ,,ɡəˈfʁiːʁən,,zəmʲɪrˈzatʲ,,,ʔinuä,,,ɔqʼinu,,eˈlaɾ,ˈfrjouːsa,dʒeˈlare,likʼwrɛmi,gäqʼinvä,,,,,,,ʒe.ˈla(ɻ),bəˈvrizə(n),,,,,rˠɔː,,,,,,ʃeˈaɾ,,,,ˈzmr̩zˌnɔʊ̯t,ʒə.le,
tree,ˈdʐɛ.vɔ,ˈkɔɨ̯dɛn,baʊ̯m,ˈmʲæːdʲɪs,ˈdʲerʲɪvə,ˈbilʲə,ˈðe̞n.dro̞,dʒä,t͡ʃeʈːu,bɔjm,ndʒä,trɛː,ˈarbol,tʰrjɛː,ˈal.be.ro,mɛgɛm,χɛ,drɛˈʋóː,,,ɡwe,tɹɛaː,kɾˠaun̪ˠ,ˈaɾ.vu.ɾɨ,boːm,kùoks,strɔm,dərˈvɔ,ˈdreva,,bʊəm,ˈarbore,bɪə̯m,ˈa.bɾə,t͡sɑr,,,,,strom,aʁbʁ,
count,ˈlʲi.t͡ʂɨt͡ɕ,,ˈt͡sɛːlən,,ɕːɪˈtatʲ,,,kʼɔrɔtsχuä,,,ɔkʼɔrɔtsχu,,konˈtaɾ,ˈtʰɛlja,konˈtare,liʃɛldɛ,tʰvlä,,,,,,ɾˠiːvˠ,kõ.ˈtaɾ,ˈtɛlə(n),skàjtîːt,,,,,tɛ̞ːl,,,komˈta,,,ˈbrɔi,,,ˈpot͡ʃiːtat,kɔ̃.te,
red,t͡ʂɛrˈvɔ.nɨ,koːχ,roːt,rɐʊˈdoːnɐs,ˈkrasnɨj,,ˈkocinos,tʃʼitʰä,,,mtʃʼitʰä,røːd,ˈroxo,ˈrøyːðʏr,ˈros.so,tsʼərni,tsʼitʰɛli,ərˈdɛ́tʃ,,røːd,,,ˈdʲaɾˠəɡ,vɨɾ.ˈmɐ(j).ʎu,roːt,sâɾkans,ˈt͡ʃɛrvɛniː,tʃɛrˈvɛn,t͡ʂɨˈrvonɨ,ˈtʲɛrɛk,roːi̯,ˈro.ʃu,,ˈrɔt͡ʃ,kɑɾˈmiɾ,beɾˈmeʎo̝,,ræʉ,kuc,ˈt͡ʃɛrvɛniː,ʁuʒ,t͡ʃeˈrwɔnei̯
squeeze,ˈɕt͡ɕi.skat͡ɕ,,ˈdʁʏkŋ̩,,ʐːɨˈmatʲ,,,mɔntʃʼirä,,,ɔzdimu,,ekspɾiˈmiɾ,,,litʰlɛ,mɔtʃʼɛrä,,,,,,,,ˈklɛmə(n),,,,,,,,,əsˈpɾe.mə,sɛʁˈmɛl,espɾeˈmeɾ,,,,,pʁɛ.se,
dull,ˈtɛm.pɨ,,ʃtʊm(p)f,,tʊˈpoj,,,dʒärguliä,,,dʒängulä,sløːv,ˈromo,,,luwrɛ,blägvi,ˈtɔ́p,,,,,,ˈsɛ.ɣu,bɔt,,ˈtupiː,,tuˈpɨ,,,toˈt͡ʃit,,,butʰ,,,,,ˈtʊpiː,e.mu.se,
grass,ˈtra.va,ˈɡlaswɛɬd,ɡʁaːs,ʒoˈlʲeː,trɐˈva,feːə,,tʼqʼä,ɡaɖːi,ɡʁɔz,tʼkʼä,,ˈpas.to,kraːs,ˈɛrba,mɛl,bäläχi,ˈtràːʋa,ˈɛrβo,,ˈɡɛwt,kɹɛaːs,fʲeːɾˠ,ˈɡɾɐ̃mɐ,ɣrɑs,,ˈtraːva,trɛˈva,,ˈfiəɾ,,ˈjar.bə,ɣɛːs,ˈeɾ.bə,χɔt,ˈɛɾβa̝,,ɡrɑːs,baɾ,ˈtraːva,ɛʁb,
split,ˈd͡ʑɛ.lʲit͡ɕ,,ˈʃpaltn̩,,rəɕːɪˈplʲætʲ,,,rtʰuälä,,,ɔrtʰu,,parˈtiɾ,ˈkʰlɔpna,ˈfɛndere,lirdɛ,qʼɔpʰä,,,deːla,,,,pɐɾ.ˈtiɾ,,,,,,,,,,pəɾˈti,,,,,,,fɑ̃dʁ,
wash,mɨt͡ɕ,ˈɡɔlχɪ,ˈvaʃən,,mɨtʲ,,,rtʃχuälä,,,ɔtʃχu,,,θvɔː,,liʃqʼwdi,rɛtsχvä,,,,,,nʲɪɟ,lɐˈvaɾ,ˈʋɑsə(n),mazɡâːt,,,,,,,,rənˈta,ləˈvɑl,,,,,miːt,la.ve,
mountain,ˈɡu.ra,ˈmənɨ̞ð,bɛrk,ˈka͡l.nɐs,ɡɐˈra,slʲuː,ˈo̞ro̞s,gɔlä,,,gɔlä,bjɛrv,monˈtaɲa,fjatl,monˈtaɲɲa,läχw,mtʰä,ɡɔ̀ːra,,bɛrj,,fjatl,ʃlʲiəvˠ,mõ.ˈtɐ.ɲɐ,bɛrx,kâlns,ˈɦɔra,pləniˈna,,,,ˈmuntɛ,bɛrx,,lɛr,monˈtaɲa̝,,fjɛlː,mal,ˈɦora,mɔ̃.taɲ,ɦɔˈrɑ
horn,ruk,kɔrn,hɔrn,ˈrä̌ːɡɐs̪,rok,,,kʰä,,,kʰrä,,ˈkwerno,hɔrtn,ˈkɔr.no,mitʃʼw,rkʰä,ˈróːk,,,,hɔtn,əiɾˠk,ˈʃi.fɾɨ,ɦoːrn,ɾaks,ˈrɔx,,,,,korn,,ˈba.ɲə,jɛʁd͡ʒˈjuɾ,ˈkɔɾno̝,,hʊrn,,ˈrox,kɔʁn,
white,ˈbʲa.wɨ,ɡwɨ̞n,vaɪs,ˈbaːltɐs,ˈbʲelɨj,,ˈaspro̞s,tʃɛ,,vajs,χtʃɛ,,ˈblanko,ˈxʷiːtʏr,ˈbjaŋko,tʰɛtʰnɛ,tʰɛtʰri,ˈbéːw,,,,ˈkvʊiːjtʊɹ,bˠɑːn̪ˠ,ˈbɾɐ̃.ku,ʋɪt,bālts,ˈbi̯ɛli,bʲal,ˈbʲeɫɨ,kʲaɫ̪,vət,alb,vit,ˈblaŋk,əspiˈtɑk,ˈbɾaŋkʊ,,kʋiːt,baːɾð,ˈbiːliː,blɑ̃,ˈbʲilei̯
leaf,lʲiɕt͡ɕ,ˈdei̯lɛn,blat,,lʲist,ˈd̪olʲaɡ,ˈfilo̞,pʰurtsɛli,aːku,blat,pʰävri,blad,ˈoxa,løyːv,ˈfɔʎʎa,bälɛ,pʰɔtʰɔli,ˈlíːst,ˈfɥɛʎo,,ˈde.ljɛ̃n,blɛaː,ˈdʲɪloːɡ,ˈfo.ʎɐ,blɑt,,ˈlist,,lʲist,,blɑːr,ˈfrun.zə,,ˈfu.ʎə,tɛˈɾɛv,ˈfo.ʎɐ,,,,ˈlɪst,fœj,
at,u,ʊrθ,an,pɐs,vɛ,,ˈston,,,,,,en,,a,ʒi,zɛ,pri,,poː,,ʊiː,ə,ˈa,ɔp,,,,,,,la,,a,,,vɔ,poː,ˈnə,u,a,
five,pʲɛɲt͡ɕ,pɨ̞mp,fʏnf,,pʲætʲ,kwɛɡ,ˈpe̞(n)de̞,χutʰi,aid̪u,fɪnf,χutʰ,,ˈθinko,fɪmː,ˈt͡ʃin.kwe,wɔχuʃd,χutʰi,péːt,siŋk,fɛm,ˈpɛmp,fɪmː,kuːɟ,ˈsĩ.ku,vɛi̯f,pìɛtsi,ˈpɛc,,,koːɡ̊ʲ,,t͡ʃint͡ʃʲ,,ˈsiŋk,hiŋɡ,,,,pɛs(ə),ˈpjɛt,sɛ̃k,ˈpjɑtʲ
heart,ˈsɛr.t͡sɛ,ˈkalɔn,hɛʁts,ʃʲɪrʲˈdʲɪs,ˈsʲert͡sə,kriː,karˈðʝa,guri,,,guri,jɛrtə,koɾaˈθon,ˈçar̥ta,ˈkwɔːre,gwi,guli,sərˈtséː,kɔr,ˈjɛrˌta,ˈkalɔ̃n,ˈjaɹ̥ʈa,kɾˠiː,ko.ɾa.ˈsɐ̃w̃,ɦɑrt,sîɾts,sr̩tsɛ,sərˈt͡sɛ,ˈsert͡sa,,,ˈinimə,hɛt,ˈkɔr,siɾt,,ˈsr̩t͡sɛ,²jɑrtə,ˈzɛməɾ,ˈsr̩t͡sɛ,kœʁ,ˈsɛrt͡se
I,ja,miː,ɪç,ɐʂ,ja,miː,eˈɣo,mä,,ɪχ,mä,jaj,ɟ͡ʝo,jɛɣ,ˈi.o,mi,mɛ,,ˈjew,ˈjɑː(ɡ),,eː,mʲeː,ˈew,ɪk,ɛs,ˈja,as,,mi,ɛk,jew,ɪk,ˈʒɔ,jɛs,ˈew,jas,eːɡ,ˈun,jaː,ʒə,ˈjɑ
swell,ˈpux.nɔɲt͡ɕ,,ˈʃvɛlən,,rəzdʊˈvat͡sːə,,ˈpɾizome,mbäruä,,,ɔbäru,,,,,liʃiɛ,ʃɛʃupʼɛbä,,,,,ˈpœlna,,ĩ.ˈʃa(ɹ),ˈzʋɛlə(n),,,,,,,,,imˈflaɾ.sə,uˈrɛl,,,,,,ɡɔ̃.fle,
what,t͡sɔ,beːθ,vas,,ʂto,,,mu,,vɔs,mu,vad,ˈke,xʷaːð,,mæ,rä,ˈkàːj,,vɑː(d),ˈpe.tʁa,kvɛaːʰt,kad̪ˠ,u ˌki,ʋɑt,,ˈt͡ʃɔ,kɐkˈvɔ,ʂto,tʲeː,vat,t͡ʃe,,ˈkə,int͡ʃʰ,,,kʋɑː,tʃfaɹ(ə),t͡so,kwa,ʃtʃɔ
flow,ˈpwɨ.nɔɲt͡ɕ,,ˈfliːsn̩,ˈbʲeːk.tʲɪ,tʲet͡ɕ,,ˈre.o,ulä,,,ɔzimzilu,,ˈflwiɾ,ˈrɛnːa,fluˈire,lizi,dinɛbä,ˈtɛtʃi,,,,,,,ˈvlujə(n),,ˈci̯ɛt͡sc,tɛˈkə,,,flui,,,fluˈi,hoˈsɛl,,,,,tɛːt͡st,ku.le,
sleep,spat͡ɕ,ˈkəsɡɨ̞,ˈʃlaːfn̩,,spatʲ,,ciˈmame,luri,,,ndʒiri,,dorˈmiɾ,ˈsɔːva,dorˈmire,uʒ,dzili,ˈspaːti,,soːva,,,ˈkɔd̪ˠɪlʲ,duɾ.ˈmiɾ,ˈslaː.pə(n),ɡulɛ̂ːt,ˈspac,spʲɤ,,,,dorˈmi,,duɾˈmi,kʰəˈnɛl,,,,,spaːt,dɔʁ.miʁ,
near,ˈblʲis.kʲi,,naː,,ˈblʲiskʲɪj,,,χɔlɔ,,,χɔlɔs,nɛːr,ˈθerka,,viˈtʃino,pʰɛdiä,äχlɔ,,,,,,d̪ˠlˠuː,ˈpɛɾ.tu,,,,ˈblizək,ˈblʲiskʲi,dɫ̪uː,,a.ˈpro̯a.pe,,,mɔt,,,næːr,,ˈbliːskiː,pʁɛ,
how,jak,sɨ̞t,viː,kaɪˑp,kak,,ˈpos,mutʃʼɔ,,,mutʃʼɔ,,ˈkomo,,ˈkome,imʒi,rɔgɔr,kaˈkòː,,hʉːr,,,ˈkʊnˠəsˠ,ˈko.mu,ɦu,,ˈjak,,,,,kum,,ˈkɔm,int͡ʃʰˈpɛs,,ˈkakɔ,ˈkʊrlæɪs,si,jak,kɔ.mɑ̃,
he,ɔn,eːv,ʔeːɐ̯,jɪs,on,,aˈftos,tʰinä,,,ɛjä,han,el,ˈhanː,ˈlui,ɛdʒi,is,ˈɔ́n,,hanː,,,ʃeː,ˈe.li,ɦɛi̯,viɲʃ,ɔn,t̪ɔj,jon,ɛ,,,hɛi̯,ˈeʎ,nɑ,ˈel,tɔj,,,on,il,ˈʋʲin
swim,ˈpwɨ.vat͡ɕ,ˈnɔvjɔ,ˈʃvɪmən,ˈpɫɒʊ̯ˑkʲtʲɪ,ˈplavətʲ,,,ntʃuruä,iːd̪u,,ɔntʃviru,svœmə,naˈdaɾ,ˈsɪnta,nwoˈtare,likʰni,tsurvä,ˈplaːʋati,,,,,sˠn̪ˠɑːvˠ,nɐˈðaɾ,ˈzʋɛ.mə(n),pɛ̄ldɛ̂ːt,ˈpɫaːvac,,,,,,ˈsvɪm.mə,nəˈda,lɔˈʁɑl,,,²sʏmjɑ,nɔˈtɔj,ˈplavat,na.ʒe,
mouth,ˈu.sta,keːɡ,mʊnt,bʊrˈnɐ,rot,ˈbiəl,,pʼidʒi,noːru,,pʼidʒi,mon,ˈboka,ˈmʏnːʏr,ˈbokka,pʼil,pʼiri,ˈùːsta,buko,mɵn,ˈɡɵ̃ː.nu,,bʲia̯l̪ˠ,ˈbo.kɐ,mɔnt,mutɛ,ˈuːsta,usˈta,rot,piaɫ̪,mɔnt,,ˈmulə,ˈbo.kə,bɛˈɾɑn,,,,ˈɡɔjə,ˈuːsta,buʃ,ˈrɔt
year,rɔk,,jaː(ɐ̯),,ɡot,blʲeːnʲ,ˈxɾonos,tsʼänä,,jɔʁ,tsʼänä,,ˈaɲo,auːr,ˈan.no,zæ,tsʼɛli,ˈlèːtɔ,,,ˈblwaː,ɔaːɹ,bʲlʲiənʲ,ˈɐ.nu,jaːr,,ˈrɔk,ɡɔˈdinə,ɣot,,jɑːr,an,iə̯r,ˈaɲ,tɑˈɾi,,,oːr,,rok,a.ne,
