word,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
spit,,,,,,,,,,ˈpɫuka,,,ˈkøp,,,,,,,,,,eskuˈpiɾ,,,,,,ˈplɪvnou̯t,,,,kuʃ.ˈpiɾ,ba.sˁa.qa,,,ˈfti.nɔ,,,,,tʰwé,,,,,,,,,,,,,,kusˈpiɾ,,,,,,,ˈr̥aiːca,,,tʰu pɛ.lʊa,,,,,,,,,,,,,,,,,t̪ʰuːk.nɑː,plut͡ɕ,plʲɪˈvatʲ,,,,,,,,,ɲo˧˩,,spuˈtare,,,,,,,pʰurtʼinuä,tʰəˈkʰɛl,ˈspu.oː,,,,,,spʎāwt,,,ˈʃpʊkŋ̩,,,,,,,kʁa.ʃe,,t͡sɨᵝba̠,pʰurtʰχɛbä,spøtɘ,,,ˈpʎuc,,,,,,,,litʼbənɛ,,,,,,,,,,,,,ntʃʼkʼväläpʰä,,ludah,,
guts,,,,,,,,,,ˈt͡srɛva,,,ˈbeːl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʔù,,,,,,,,,,,,,,,,,,,ˈɪn̠ʲiː,,,,,,,,,,,,,,,,,,,,,,,,kʲɪʂˈkʲi,,,,,,,,,,,,,,,,,,tʃʼi,pʰoɾoˈtikʰ,,,,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,,,,,,ɑ̃t.ʁaj,,,nätsʼlävi,,,,,,,,,,,,tʃʼintʃʼil,,,,,,,,,,,,,tʃʼu,,,,
tongue,,ˈzɯmɑːn,,,ˈʎəŋ.ɡwə,na:lgə,,na:lange,ɛˈzik,ˈjazik,,,ˈɲɛlv,na:kkə,,ˈtɵŋˌa,na:ʋu,,tɪl,,ʋendʒeɾ,,ˈlenɡwa,d͡ʑiɦ.ʋɑ́ː,tʰʲɛŋɡə,,,,ˈjazɪk,,,,ˈlĩ.ɡwɐ,li.saːn,,ʋenɖa:ɾu,ˈɣlosa,na:like,çjʌ̹,,ˈʒəbə,ʃà,,ˈtɛwt,na:ng,ˈlimba,ˈkie̯li,,ˈɲuo̯vtt͡ʃa,,,,,lin˦˥,,,,ˈtʃɛnʲə,na:lka,,ˈtʲaŋə,tsʊŋ(ɡ),ˈtʰuŋka,ˈtʰʊŋka,,zi.bʱa,ˈlimbə,,ˈjɛ̀ːzik,,,,,nevãḍ,,ˈleŋɡo,ˈdil,dil,,duʋi:,,əvˈʒak,dʒiːbʱ,ˈjɛ̃.zɨk,(j)ɪˈzɨk,,,tɪ̞l,,,,,taɖta,lɨəj˦ˀ˥,nelgi,ˈliŋ.ɡwa,zæˈbɔːn,,na:lige,,na:la:ji,,ninä,lɛˈzu,ˈlin.ɡʷa,kˈeːl,,na:luka,,na:kə,mɛ̀ːlɛ,ûːlîːmi,,ˈtsʊŋə,ˈɟʑuhə,,t͡soŋ,dʒibʱ,,,lɑ̃ɡ,lin˦˨,ɕi̥ta̠,ɛnä,tɔnɡə,zæˈbɒ(ː)n,xiɮ,ˈja.zik,laˈʃɔn,tɔŋ,,ɽiˈɽí.me,,ˈtavɔd,na:ʋu,nin,ʾṇ̥ṭāt,ˈdi.laʔ,takkha,dʒiːbʱ,,mʷɔt,,,no:f,,jɐˈzɪk,,nɛnä,*lt͡ɕe,lidah,,jaˈzɨk
salt,,,,,ˈsal,,kɯa˩˨,,,,,,ˈʃoː,,,salt,,,,,,,sal,l̪ɐ.ʋɐ.ɳɐ́,,,,,suːl,,,,ˈsaɫ,milħ,,,aˈlati,,sʰo̞ɡɯm,,ˈmɑlɡa,sʰá,,,,,ˈsuɔlɑ,,ˈsaːlːtiː,t͡ʃʼəw,,,,klɯa̯˧,,s̺al,,ˈsolan,,,ˈsalˠən̪ˠ,,sal̥t,sal̥t,,lʊn,ˈsa.re,,ˈsóːw,,,,,,,,ˈtuz,,,,,,,sul,solʲ,,,tʊ̞ð,,,,duːð,,muəj˧˦,,ˈsale,næmæk,,,,,,dʒimu,ɑʁ,,,,,,,sàːls,íːtswaːjí,,zal(t)s,ˈkɹi.pə,,zɑlt͡s,,,,sɛl,kʲu˨˦,ɕio̞,märili,salt,næmæk,taws,ˈsɔʎ,,zɑu̯t,,mˈt͡ʃé.ɽe,,ˈhalɛn,,dʒim,ʾṃpil,,,,,,,,,,ˈsʲilʲ,,dʒumu,*t͡sʰʷa,,,
few,,,,,ˈpɔk,,nɔːj˥˧,,,ˈmaɫku,,,ˈkɛveːʃ,,,foː,,,,,,,,,,,,,ˈmaːlo,,,,ˈpow.kuʃ,qa.liːl,,,ˈliɣos,,ˈt͡ɕɘːk̚t͈a̠,,ləɡ,nɛ́,,,,,,,,,,,,nɔːj˦˥,,,,,,,bʲɔɡ,,,,,,puˈt͡sin,,mâlo,,,,,,,,ɑz,ɑz,,,,,kʊt͡ʃʰ,ˈma.wɔ,nʲɪˈmnoɡʲɪj,,,æð,,,,,,ʔit̚˧˦,,ˈpɔ.ko,,,,,,,tʃʼitʃʼɛ,kʰitʃʰ,ˈpau̯.kus,,,,,,,,,ˈveːnɪç,,,,,,,pø,,sɨ̥ᵝko̞ɕi,tsɔtʼä,fɔː,kʲæm,,ˈmaːlo,,ˈʋɛi̯nəx,,,,əˈχədɨ̞ɡ,,mɔid,tic,,,,,,,,,,ˈmɑlo,,mtsikʰä,,,,
leaf,,,,,ˈfu.ʎə,e:lu,baɯ˩˨,elə,,,,,ˈlɛveːl,ele,,,elakaɳɖa,,,,a:ki,,ˈoxa,,,,,,ˈlɪst,,,,ˈfo.ʎɐ,wa.ra.qa,,patɾa,ˈfilo̞,a:ki:,ip̚,,pɑˈɳa,ʔəjwɛʔ,,ˈde.ljɛ̃n,ʈunɖe,,ˈlehti,blɑːr,ˈlasːta,,,,,baj˧,,ˈfo.ʎɐ,,ˈd̪olʲaɡ,a:k,,ˈdʲɪloːɡ,blat,løyːv,blɛaː,,,ˈfrun.zə,,ˈlíːst,,,,,ev,,ˈfɥɛʎo,jɑpˈɾɑk,jɑrˈpɑχ,,pann,,,,lʲiɕt͡ɕ,lʲist,,,jɑpˈrɑq,,,,,ha:tʰa,laː˧˦,jali,ˈfɔʎʎa,,,jele,ˈwɛrʔɐ,iɾa,,pʰurtsɛli,tɛˈɾɛv,ˈfo.li.um,,,a:ku,,ila,,íːkʰaːsi,,blat,,,,,,,fœj,,pa,pʰɔtʰɔli,blad,bæɾɡ,,ˈlist,(ʔ)aˈla,blɑt,,ˈt͡sa.ᵐba,,ˈdei̯lɛn,ele,bälɛ,s̥lẏk,ˈda.hon,atkʰa,pətːiː,,,,,eɾs,,,,pʰävri,*lo.ma,daon,,lʲist
wing,,,,,ˈa.lə,,,,kriˈlɔ,,,,ˈsaːrɲ,,,ˈvɪŋˌɛ,,,qɑˈnɑt,,,,ˈala,,,,,,kr̝̊iːdlo,,,,ˈa.zɐ,d͡ʒa.naːħ,,,,,na̠ɭɡe̞,,,ʔətàʊɴ,,ˈas.kɛl,,,,,ˈsoɑ̯ɟɟiː,,,,,piːk̚˨˩,,aː,,ˈskiːən,,,ˈʃcɪhɑːn,,ˈvaiŋkʏr,ˈvɔŋkʊɹ,,dɛu.ka,,,ˈkrìːlɔ,,,,,,,,,ɡɑˈnɑd,,,,,,ˈskʂɨ.dwɔ,krɨˈlo,,,qɑˈnɑt,,,,,,kajŋ̟˧˦,,ˈala,bɔːl,,,ˈd͡ʒwɪːnɐħ,,,suä,tʰɛv,ˈaː.la,,,,,,spàːɾns,íːpʰiːɠo,,ˈflyːɡl̩,kɾa,,,,,,ɛl,fɯːt˧,t͡sɨᵝba̠sa̠,pʰrtʰä,,bɒːl,,ˈkriːdɫɔ,kaˈnaf,,,ˈpʰi.ko,,ˈadai̯n,,kʼäbərdʒ,s̥lāp,,,,,,,,,,,,msvä,,,,krɨˈɫo
rope,,,,,ˈkɔɾ.də,,,,vəˈʒɛ,ˈjaʒɛ,,,ˈkøteːl,,,,,,,,,,ˈkwerda,,,,,,,,,,ˈkɔɾ.dɐ,ħabl,,,,,pa̠t̚t͡ɕ͈uɭ,,,t͡ɕó,,kɔrdɛn,,,,,,,,,,t͡ɕʰɯa̯k̚˥˩,,,,,,,tʲiad̪ˠ,,ˈreiːpɪ,,,zɔ.ɹi,,,,,,,,,,,,,,,,,ɖoː.ɾiː,ˈlʲi.na,vʲɪˈrʲɵfkə,,,ɑrˈqɑn,,,,,,zəj˧˧,,ˈkɔrda,ærʁæmtʃin,,,,,,tʰɔkʼi,pɑˈɾɑn,ˈfuː.nis,,,,,,àwkla,íntaːmbo,,zaɪ̯l,liˈtaɾ,,zeːl,,,,kɔʁd,,,tʰɔkʼi,tɔv,,,ˈɫanɔ,ˈχe.vel,,,,,r̥aːf,,tʰækʼw,k̥ʰsae,,,,,,,,,,,,tʰɔkʼi,,tali,,vʲaˈrou̯ka
flower,,,,,ˈflɔ,,dɔːk˨˩ mai˥˦,,t͡svʲat,,,,ˈviraːɡ,,bluːm,blʊ.ma,,,,,,,ˈfloɾ,púʂ.pɐ,,,,,ˈkvjɛt,,,,ˈfloʁ,zah.ra,,,ˈanθɔs,,k͈o̞t̚,,ɡwəl,páɴ,,blœ̃w,,,ˈkukːɑ,,ˈraːssiː,aβəβa,,,,dɔːk̚˨˩,,,,,,pʰul,bˠl̪ˠɑː,blʊm,plouːm,ˈblɔuma,,pʰul,flo̯are,,ˈtsʋéːt,,,,,,,,tʃɪˈtʃɛc,t͡ʃiˈt͡ʃæk,,,,,pʰuːl,kfʲat,t͡svʲɪˈtok,,,sæsˈkæ,ɡyl,,,,,hwaː˧˧,,,ɡul,,,ˈfjuːrɐ,,,pʼɛuli,t͡sɑˈʁik,floːs,,,,,,,ímbaːli,,ˈblyːtə,ˈlulɛ,,blum,,,,flœʁ,,pana,qʼvävili,,ɡʊl,,ˈkvɛt,,blum,,ˈɗu.(w)a,,ˈblɔdɨ̞n,,muʁwæ,p̥ʰkā,,,pʰul,,,,,,blom,ˈkʋʲitkɐ,,pʰukʰiri,*me.tok,buŋə,,
wipe,,,,,ə.ʃuˈɡa,,,,,ˈbriʃɛ,,,ˈtørøl,,,,,,,,,,limˈpjaɾ,,,,,,ˈuciːrat,,,,ˌes.fɾe.ˈɡa(ɻ),ma.sa.ħa,,,,,ɕ͈it̚t͈a̠,,,θoʊʔ,,,,,ˈpyːçki.æˣ,,,,,,,t͡ɕʰet̚˦˥,,,,,,,ˈkɪmʲɪlʲ,,,,,mɔ.sa,,,,,ʃɔʀ.bi,,,,,ejsyˈɣa,,,,,,,,vɨˈt͡ɕɛ.rat͡ɕ,vɨtʲɪˈratʲ,,,,,,,,,law˧˧,,aʃʃuˈɡare,,,,,,,tsʼiminduä,səɾˈpʰɛl,ˈter.ɡoː,,,,,,slāwtsîːt,,,ˈvɪʃn̩,,,,,,,e.sɥi.je,,,tsʼmɛndä,veskɘ,,,,ˈneɡev,ˈveː.ɣə(n),,,,,,likʼwtsæni,,,,mɪʈanaː,,,,,,,,,ɔtsʼimidu,,,,
smoke,,,,,ˈfum,pegu,,hoge,,,,,ˈfyʃt,pukai,,,poge,,,,poja,,ˈumo,d̪ʱuː.mɐ́,t̪ɔʰtʲ,,,,diːm,,,,ˈfu.mu,du.xaːn,,,kaˈpno̞s,kumpo:ɖ,ˈjɘːnɡi,,d̪od̪,ʔəkʰó,,,poa:g,,ˈsɑʋu,,ˈsuo̯vva,,,,,kʰwan˧,,ˈfume̝,,ˈd͡ʒeːax,pog,,ˈdʲat̪ˠəx,,ˈreiːkʏr,ˈɹɔiːjkʊɹ,,,,,ˈdím,,,,,tūk,,,,tysˈty,,mo:ʃ,,,d̪ʱuː.ɑ̃ː,dɨm,dɨm,,,tʏ̞.ˈtʏ̞n,,,,,mo:ha,xɔj˧˦,pəggi,,,,hoge,,poga,,kʼumä,t͡suχ,ˈfuː.mus,,,poga,,puka,,íntuːtʰú,,ʁaʊ̯x,,,damp,,,,fy.me,,keburi,bɔli,røj,,ʊtʰa,ˈdim,,roːk,,ˈu.t͡sí,úm̩ːsí,muːɡ,poge,zinqʰ,p̥ʰsaeṅ,,mosaga,d̪ʱuã,,,,,pukuɖti,,dɪm,,kʼɔmä,*du.ba,asap,,dɨm
blow,,,,,buˈfa,,,,,ˈduva,,,ˈfuːj,,,,,,,,,,,,,,,,ˈvaːt,,,,suˈpɾaɾ,na.fa.xa,,,,,ˈpuːɭda̠,,,m̥oʊʔ,,,,,,,,,,,,pʰat̚˦˥,,,,,,,ʃeːdʲ,,,,,,,,,,,,,,,,,,,,,,,ˈdmu.xat͡ɕ,dutʲ,,,,,,,,,tʰoj˧˩,,sofˈfjare,,,,,,,bäruä,pʰəˈt͡ʃʰɛl,floː,,,,,,,,,ˈblaːzn̩,,ˈpǔːsʲtʲɪ,,,,,su.fle,,ɸɯ̟ᵝkɯ̟ᵝ,bɛrvä,blɛːsə,,uɮex,,,ˈblaːzə(n),,,,ˈχwəθɨ̞,,libɛlɛ,pk´,,,,,,,,,,,,bäräpʰä,,,,
day,tʃĩ́,ˈɾoʒ,,,ˈdi.ə,,wan˦˥,,,,,,ˈnɒp,,,,,,,,,,ˈdia,d̪i.n̪ɐ́,,,,,dɛn,,,,ˈdi.ɐ,jawm,,,,,,diːð,wrad͡z,nḛ,,ˈdɛj,,,ˈpæi̯ʋæ,daχ,ˈpea̯jːviː,,,,eˈɡun,wan˧,,ˈd̪iɐ,,,,,l̪ˠɑː,tɔɡ,ˈtaːɣʏr,ˈtɛaːvʊɹ,,din,zi,,,,,,,,,,ɡyn,,,,,,d̪ɪn,d͡ʑɛɲ,ˈsutkʲɪ,,,tæwˈlɪ̞k,,,,ɡyn,,ŋaj˨˩,,ˈd͡ʒorno,rɵːz,,,,,,dʁä,ɔɾ,ˈdi.eːs,,,,,,,ûːsûːɠu,,tɑːk,,,daːχ,,,,ʒuʁ,ŋon˧˩,nʲiti,dʁɛ,døjn,ɾuːz,otər,,,dɑx,,ˈt͡sí.ku,,dɨːð,,lädɛʁ,t̥ʰṅai,,,,,,,,,,ˈdɛnʲ,,dʁä,*ȵi.ma,hari,,
year,,ˈsɑːl,,,ˈaɲ,,piː˩˨,,ɡɔˈdinə,,,,ˈeːv,,oːr,,,,,,,,ˈaɲo,,,,,,rok,,,,ˈɐ.nu,ʕaːm,,,ˈxɾonos,,ɲjʌ̹n,,kɑl,n̥ɪʔ,,ˈblwaː,,,ˈʋuo̯si,jɑːr,ˈjahkiː,amet,,,,piː˧,,,,blʲeːnʲ,,,bʲlʲiənʲ,jɔʁ,auːr,ɔaːɹ,,bɔ.sɔɹ,an,,ˈlèːtɔ,,,,,,,,ˈjɯɫ,,,,,,saːl,rɔk,ɡot,,,jɯ̞ɫ,jil,,,,,nam˧˧,,ˈan.no,,,,ˈsɛnɐ,,,tsʼänä,tɑˈɾi,ˈan.nus,,,,,,,úɲâːɠa,,jaː(ɐ̯),,,joː(e)ʀ,,,,a.ne,pi˨˦,nẽ̞ɴ,tsʼɛli,,sɒːl,,ˈrɔk,ʃaˈna,jaːr,,ˈt͡ʃa.ká,,,,zæ,c̥ʰnāṃ,,,,,,,,,iə̯r,,,tsʼänä,*lo,tahon,,ɣot
play,,,,,ʒuˈɡa,,,,iˈɡrajə,,,,ˈjaːt͡sːik,,,,,,,,,,xuˈɡaɾ,,,,,,ɦraːt,,,,ʒu.ˈɣaɾ,,,,,,ˈno̞ːɭda̠,,ˈlobe kawəl,sʰɔ̰,,,,,ˈle̞ikːi.æˣ,,,,,,,len˥˩,,,,,,,ˈɪmʲəɾʲ,,ˈleiːka,,,,,,iˈɡraːti,,,,,,,,,ojnɑˈmɑχ,,,,,kʰeːl.nɑː,ɡrat͡ɕ,ɪˈɡratʲ,,,,,,,,,t͡ɕəːj˧˧,,d͡ʒoˈkä.re,,,,,,,mɛgämä,χɑˈʁɑl,ˈluː.doː,,,,,,,,,ˈʃpiːlən,,ˈʒɐjsʲtʲɪ,,,,,ʒwe,,a̠so̞bɯ̟ᵝ,däkʼvrä,lajə,,,ˈɦrac,,ˈspeːlə(n),,,,ˈχwaraɨ̯,,liʃmɛ,leṅ,maɡ.la.ˈɾoʔ,,kʰeln̪aː,,,,,,,ˈɦrɑte,,gɛlätʃämu,,,,
you,,tʊ,,,ˈtu,,tɕao˥˦,,ti,ti,,,ˈtɛ,,dʉː,dʉː,,,,,,,ˈtu,,hu,,,,tɪ,,,,tu,ʔanta,,,e̞ˈsi,,ta̠ŋɕʰin,,ˈtɑse,nɪ̀ɴ,,,,,ˈsinæ,jəi,,antə,,,,kʰun˧,,,,u,,ˈθʊiː,t̪ˠuː,,θu,tʰʉuː(w),,,tu,,ˈtíː,,,,nɯ˧,,,ty,sen,sæn,,,dʉː,,t̪uː,tɨ,tɨ,,,hin,,,,,,ʔɓaːn˧˨ʔ,,t̪u,t̪u,,,,,,tʰkʰvä,du,tuː,,,,,,tu,weːná,,duː,ti,tʊ,du,,wo,,ty,mɯŋ˧˩,kipau,tʰkʰvɛn,du,to,,ˈti,(ʔ)aˈta,jɛi̯,,ˈi.we,,tiː,,sgæ,lok,iˈkaw,,aːp,,,,,,doː,ˈtɪ,,tʰkʰvän,,kamu,,
many,,ˈɡɛlɛk,,,ˈmolt,i:dʒo:ɖ,,appaɾa,,ˈmnɔɡu,,,ˈʃok,palə,,,dumba,,,,dʒa:sta,,ˈmut͡ʃos,bɐ.ɦú,ˈiməɣ,,baɲak,,ˈmnoɦo,,,,ˈmũj̃.tuʃ,ka.θiːr,,,,tʃa:la,ˈma̠ːnɯn,,ɖer,mjá,,,tukud,,,bajə,,,,,,,,,,,peɾe,,əˈl̪ˠɑːnˠ,aˈsax,ˈmarkʏr,ˈmɛŋkʊɹ,,,mult͡sʲ,,ʋɛˈlìːkɔ,,,,,tūk,,,tʃɔk,t͡ʃɔχ,,ba:z,,,bɔˈhɔt̪,ˈvʲɛ.lɛ,ˈmnoɡə,,,kʏp,,,,,di:kehi,ɲiaw³³,kajɾijə,,,,halaʋu,,ba:ɾi,,brɛli,ʃɑt,ˈmul.tiː,,,nānā,,pala,dāūdz,,,ˈfiːlə,,dɐuɡ,,,,,bo.ku,,,bɛvri,manɡə,zɪˈjɒːd,,,,veːl,,,,,tumba,mäsærd,c̥roen,,bagge,,,,,,uppu:m,,bɐˈɦɑtɔ,,didɔ,,baɲak,,
louse,,,,,ˈpoʎ,paiji,,ili,ˈvɤʃkə,ˈvɔʃka,,,ˈtɛtyː,pe:nə,,,pe:nə,,,,poɾki,,ˈpjo.xo,,,,,,ˈvɛʃ,,,,pi.ˈo.ʎu,qam.la,,,,poɾiki,i,,,θáɴ,,ˈlɔw,tukud,,tæi,,,,,,,haw˩˩˦,,,,,pa:nu,,,,luːs,lʉuːs,,,,,ˈúːʃ,,,,,pēni,,peˈzul,ˈbit,bit,,bo:dʰ,,,dʒũː,vɛʂ,voʂ,,,bɪ̞t,,,,bit̪,bʰumi,zən˧˨ʔ,pja:nu,pi.ˈdɔk̚.kjo,,,he:nu,,pe:n,,tʼi,vɔˈt͡ʃʰil,ˈpeː.dis,tˈæi̯,,pe:nu,,pe:n,,íntwáːla,,laʊ̯s,mɔr,,,,,,pu,,ɕiɾa̠mʲi,tʼili,,ʃeˈpeʃ,poːs,ˈvɔʃ,,lœy̯s,,ˈⁿsa.ɓʷe,,ˈɬeɨ̯ɛn,pe:nə,tʼiʃ,cai,,pe:n,dʒũː,,,,,iɾs,,ˈwɔʃɐ,,tʼi,,kutu,,voʂ
if,,,,,ˈsi,,,,,ˈakɔ,,,ˈhɒ,,,ɔm,,,,,,,si,,,,,,ˈjɛstlɪʒɛ,,,,sɨ,ʔin,,,,,,,,ka̰/,,,,,ˈjos,,ˈjos,,,,,tʰaː˥˩,,,,,,,mˠɑː,,ɛːv,,,,ˈda.kə,,tʃɛ,,,,,,,,,ˈæɡʲæɾ,,,,,ə.ɡəɾ,ˈjɛɕ.lʲi,ˈjes⁽ʲ⁾lʲɪ,,,æˈɡær,,,,,,new˧˦,,se,,,,ˈjɛkː,,,vär,jɛˈtʰɛ,siː,,,,,,,,,vɛn,,jæj,,,,,si,,mo̞ɕi,tʰu,ves,ˈæɡʲæɾ,,ak,,ɑ(l)s,,,,ɔs,,läχ,poe,,,,,,,,,ɔs,,,vänä,*na,ka.lau̯,,
in,,,,,ən,,naɯ˦˥,,vɤ,vɔ,,,bɒn,,iː,iː,,,,,,,en,,,,,,v,,,,ẽj̃,fiː,,,en,,,,,m̥à,,,,,,,,,,,,naj˧,,,,,,,ɪ,,,ʊiː,,bʱi.tɔɹ,ɨn,,ʋ,,,,,,,,,,,,iː,,ən.d̪əɾ,f,vɛ,,,,,,,,,t͡ɕawŋ͡m˧˧,,ˈin,dær,,,,,,,mɛt͡ʃʰ,in,,,,,,,,,ʔɪn,ˈnə,,,,,,dɑ̃,,ɲ̟i,ʃi,,dæɾ,tɔtʰər,,,ɪn,,,,ən,,sgä,,sa,,,,,,,,,,,,,,,
this,,,,,əˈkəst,idhə,niː˥˦,idə,ˈt̪ɔzi,ˈɔvɔj,,,,inta,,,idə,,,,id,,ˈeste,,ʃɔ,,,,ˈtɛnto,,,,ˈɛʃ.tɨ,haː.ðaː,,idu,aˈftos,iddu,i,,,,manːa,,idə,,ˈtæmæ,dɨt,,,,,,niː˦˥,,,,,id,,ʃɔ,,ˈθɛsːɪ,,,,aˈt͡ʃest,,ˈtáː,,,,,ī,,,bu,bu,,da:,ˈdɛn,,jəʱ,tɛn,ˈɛtət,,,,bu,,,,i:du,naj˨˩,idə,ˈkwes.to,,,idhu,,undu,,tʰɛnä,ɑjs,hik,,,ī,,i:,ʃis,,,ˈdiːzər,ky,,des,,,,sə,,ko̞no̞,ɛs,,ʔin,,,ˈe.le,ˈdeːzə,,,,hʊn,iʋe:,äli,neḥ,,i:d,,,,,,idə,,,,äjä,,ini,,
that,,,,,əˈkəʃ,adhə,,adə,ˈɔnzi,,,,ˈɒz,anta,,dɛnː,adə,,,,adu,,ˈese,,ʃɪn,,,,ˈtamtɛn,,,,ˈe.sɨ,ðaː.li.ka,,et,,addu,kɯ,,,hò,,,adə,,ˈtuo̯,,,,,,,nan˥˩,,,,,ad,,ənˠ,,,,,,aˈt͡ʃela,,,,,,,ā,,,ʃu,ɔ,,ae,,,,ˈtam.tɛn,tot,,,,,,,,a:du,ʔɗɔ˧˦,adə,ˈkwello,,,ā,,aʋu,,tʰinä,ɑjd,ˈis.te,,,ā,,a:,tas,,,ˈjeːnɐ,,,,,,,sə,,⟨so2 no2⟩,is,dən,ɒːn,,tɛn,,dɑt,,,,ˈhʊnʊ,aʋe:,ɛdʒi,noḥ,,hu:,,,,,,adə,,,,ɛjä,,itu,,toj
other,,,,,,,,,druk,,,,ˈmaːʃik,,,,,,,,,,ˈotɾo,,ˈelə,,,,ˈdruɦiː,,,,ˈo(w).tɾu,,,,,,ta̠ɾɯn,,bəl,ʔət͡ɕʰá,,ˈalː,,,ˈtoi̯nen,,,,,,,ʔɯːn˨˩,,,,,,,ˈɛlʲə,,,,,an,alt,,ˈdrùːɡi,,,,,,,,di(j)eɾ,bɑʃˈkɑ,,,,,ənj,ˈin.nɨ,drʊˈɡoj,,,bɑʂˈqɑ,,,,,,xaːk̚˧˦,,ˈal.tro,,,,,,,ʃχvä,ɑjl,ˈal.ter,,,,,,,,,ˈʔandəʀə,,,,,,,otʁ,,ho̞ka̠,sχvä,andrə,diːˈɡʲæɾ,,ˈdruɦiː,,ˈɑn.dər,,,,ˈaraɬ,,iʃgɛn,,,,,,,,,,,ˈinʃɪj,,tʃkʰvä,,,,ˈjinʂɨ
long,,ˈdɯɾeːʒ,,,ʎuˈɲa,ni:tam,,utta,ˈdɤlək,,,,ˈhosːuː,nīṇṭa,,lɔŋ,uddə,,,,la:m,,ˈlarɡo,,fad̪̊ə,,,,ˈdlou̯ɦiː,,,,ˈlõ.ɡu,tˁa.wiːl,,,,poɖaʋuʈa:du,ˈkiːɭda̠,,uʐd̪,ʃè,,,tukud,,,,,,,,,jaːw˧,,,,,poɖa:m,,ˈfˠɑd̪ˠə,,ˈlaŋkʏr,ˈlɛŋkʊɹ,,,luŋɡ,,ˈdɔ́ːwk,,,,,tūk,,,,uˈzun,,muɾgun,,,,ˈdwu.ɡʲi,ˈdlʲinːɨj,,,ʊ̞.ˈðʊ̞n,,,,,digaɖo,zaːj˨˩,uddu,ˈlunɡo,,,udda,twiːl,uda,,gindzɛ,jɛɾˈkɑɾ,ˈlon.ɡus,,,poɖaʋu,,ni:nɖa,,,,laŋ(k),,,laːŋ,,,,lɔ̃,,na̠ɡa̠i,grdzɛli,lanɡ,,,ˈdl̩ɦiː,,lɑŋ,,,,hiːr,ni:ʈa,dʒwɛdi,vaeṅ,,diga:h,,,,,,neɾti,,ˈdɔu̯ɦei̯,,gundzɛ,,,,ˈdou̯ɣʲi
fog,,,,,ˈbɔj.ɾə,,,,məˈɡɫa,ˈmaɡla,,,ˈkød,,,,,,,,,,,,,,,,mɫ̩ɦa,,,,nɨ.ˈvwɐj.ɾu,dˁa.baːb,,,,,a̠nɡe̞,,,mjù,,,,,,,,,,,,mɔːk̚˨˩,,ˈnɛβo̯a̝,,kʲeː,,,coː,,ˈθɔːka,ˈtʰoːʰka,,,ˈt͡ʃe̯a.t͡sə,,məˈɡlá,,,,,,,ˈnɛβlo,,,,,,,,mɡwa,tʊˈman,,,tʊ̞ˈmɑn,,,,,,sɨəŋ˧˧ mu˨˩,,ˈnebbja,,,,,,,nirsi,mɑrɑˈχuʁ,kaːˈliː.ɡoː,,,,,,,ínkuːnɡú,,ˈneːbl̩,ˈmjɛɡuɫ,ˈruːkɐs,ˈnivəl,,,,bʁu.jaʁ,,,nisli,tɔːɡə,mæh,manəŋ,ˈɦmɫa,,mɪst,,ˈᵑkʰú.ᵑɡu,,,,bintʼw,ʾ˘b̥d,,,,,,,,,,,,mpʼulä,*zmuk.pa,kabos,,
here,,,,,əˈki,,,,ˈtuk,ˈtuka,,,ˈitː,,,hæːr,,,,,,,aˈki,ɐ́t̪.ɽɐ,,,,,ˈtoto,,,,ɐˈki,hu.naː,,,,,jʌ̹ɡi,,ˈd̪əlt̪a,,,,,,ˈtæsːæ,,,,,,,tʰiː˥˩.niː˥˩,,,,,,,,,çɛːr,,,iat,aˈit͡ʃʲ,,ˈtúːkaj,,,,,,,,,burɑˈdɑ,,,,,,tu,zʲdʲesʲ,,,,,,,,,,,kwa,,,,aʊ̯n,,,tʰäkʰ,ɑjsˈtɛʁ,hik,,,,,,,,,hiːɐ,,tʃʲɛ,hai̯,,,,i.si,,⟨ko2ko2⟩,äkʰ,,iːnˈdʒɒː,,,kan,ɦir,,,,,,ämɛtʃu,neḥ,,,,,,,,,,,,äkʰ,,sini,,
