word,sl,km,be,ka,kfb,ku,th,cy,pl,af,tcx,tcy,mk,fo,kxv,ug,bn,tr,fr,vro,yi,lb,is,gon,ko,bo,pt,hu,he,brh,sq,zu,oc,en,sa,sk,tl,az,ga,nl,mn,kfa,xub,et,kn,my,liv,ny,lo,kru,es,gdb,ro,lt,fi,za,vot,sv,uk,ur,ta,vi,kfe,da,nn,bfq,la,hy,de,id,br,lzz,gv,mt,fa,krl,el,cs,sva,ms,te,yea,ca,hi,ar,ml,bg,kff,xmf,tg,ps,vep,ru,it,ja,fy,se,lv,gd,gl,mjt,pci,ba,as
sand,ˈpèːsək,k̥ʰsāc´,pʲaˈsok,kʰviʃä,usuka,,saːj˧,,ˈpʲa.sɛk,sant,manal,pojja,,,bali,qum,,kum,sɑbl,ˈliːv,,zɑnt,ˈsantʏr,uske,mo̞ɾe̞,,ɐˈɾɐjɐ,ˈhomok,,ɾe:k,,ísiɬaɓâːtʰi,ˈsaβlo,sænd,,ˈpi̯ɛsɔk,,,ˈɡanʲəvˠ,zɑnt,,maɳa,maɳalə,ˈliːʋ,maraɭu,θɛ́,ˈjɨugɨ,mˈt͡ʃe.ᵑɡa,,tʃalkuɾu,aˈɾena,ma:n,niˈsip,,ˈhiekːɑ,θa˨˦,ˈliːvɑ,,pʲiˈsɔk,,maɳal,kaːt̚˧˦,bʰulo:gam,san,sɑnd,pakke,aˈreː.na,ɑˈvɑz,zant,,tʁɛs,ʁumi,ˈɡʲanʲax,,,ˈtʃuːru,,ˈpiːsɛk,kʰwiʃɛ,pase(r),isuka,maɳə,ˈso.rə,ɾeːt̪,raml,maɳal,ˈpʲasək,isike,kʰviʃä,reɡ,,ˈlete,pʲɪˈsok,ˈsab.bja,sɨᵝna̠,,ˈsaːttuː,,,ˈʃaβɾe̝,ba:li,man,qʊ̞m,ba.li
back,ˈxərbət,k̥ʰnṅ,ˈsʲpʲina,zurgi,,,laŋ˩˩˦,,ˈplɛ.t͡sɨ,rœχ,,,ɡr̩p,,,,,,do,ˈsːælk,,ʀek,paːk,,tɯŋ,,ˈkɔs.tas,ˈhaːt,,,ʃpiːn,uḿ̩ɬaːné,,bæk,,ˈxr̩baːt,,,d̪ˠɾˠiːmʲ,rʏx,,,,ˈselg,,t͡ɕɔ́,ˈsæːlgɑ,mˈsá.na,laŋ˩˧,,esˈpal.da,,,ˈn̪ʊɡɐrɐ,ˈselkæ,,ˈseltʃæ,rʏɡ,,,,lɨŋ˧˧,,,,,ˈdor.sum,mɛt͡ʃʰkʰ,ˈʁʏkn̩,,ˈkɛjn,kʼäpʼulä,d̪riːm,,pʰoʃt̪ʰ,ˈselkæ,,ˈzaːda,tʃʼätʃʼær,bəlakaŋ,,,əsˈkə.nə,piːʈʰ,ðˁa.ha.ra,,ɡrɤp,,ɔtʃʼiʃi,puʃt,,ˈselg,spʲɪˈna,ˈskjɛna,,rɛːx,,,kʰuːɫ̪,ˈlombo̝,,,ɑrˈqɑ,pi.tʰi
fly,ˈmùːxa,ruy,,pʰrɛnä,tulsa:d,ˈmeːʃ,ma˦˥.lɛːŋ˧.wan˧,,ˈmu.xa,,po:ɾtʃ,ɾa:paɾa,,ˈfluː(w)ʊ,,,matʃʰi,sinɛc,muʃ,ˈlintɑmɑ,,,ˈflʏːɣa,paɾi,pʰa̠ɾi,,ˈmos.ka,ˈleːɟ,zvuv,ba:l kanning,,,,flaɪ,,ˈmuxa,,,kɪˈlʲoːɡ,vlix,,pa:ɾa,pa:ɾ,ˈlendɑmɑ,ha:ɾu,jɪ̀ɴɡàʊɴ,ˈlind̪ɨ,ˈⁿt͡ʃʰé.ⁿt͡ʃʰe,,uɖijaɾna,ˈmoska,tukud,,,ˈlentæː,,ˈlentæː,,,,paɾə,zuəj˨˩,pa:ɾʋu,fluːə,²flʉːɡə,paɾappə,ˈmus.ka,t͡ʃɑnt͡ʃ,ˈfliːɡə,,,ɔpʰutʰχinu,,dʊˈbːɪːnɐ,mæˈɡæs,ˈlentyæ,ˈmiɣa,ˈmou̯xa,lipʼɛr,lalat,eguɾu,mannə,ˈmos.kə,,,paɾakkuga,muˈxa,tulla,pʰurinuä,,,ˈletɑ,ˈmuxə,,,mɪx,,muʃa,,ˈmoska̝,uɖa:ɾi,tūk,sɪ̞.ˈβɪ̞n,makʰi
I,,k̥ʰñuṃ,,mɛ,ne:nu,,pʰom˩˩˦,miː,ja,ɛk,o:n,ja:nu,jas,eː,na:nu,mæn,ˈɑmiː,bɛn,ʒə,ˈmɑʔ,ɪχ,eχ,jɛɣ,nanna,na̠,*ŋa,ˈew,ˈeːn,(ʔ)aˈni,i:,ˈun,miːná,ˈjew,aɪ,ɐ.ɦɐ́m,ˈja,ˈko,mæn,mʲeː,ɪk,,na:nə,na:ʋə,ˈminɑ,na:nu,t͡ɕʊ̀ɴdɔ̀/,ˈminɑː,ˈi.ne,kʰɔːj˨˩,ae:n,ɟ͡ʝo,a:n,jew,ɐʂ,ˈminæ,kou˨˦,ˈmiæ,ˈjɑː(ɡ),ˈjɑ,mɛ̃,na:n,toj˧˧,a:n,jaj,eːɡ,na,ˈe.ɡoː,jɛs,ɪç,saja,,mä,miː,jɪːn,mæn,ˈmie,eˈɣo,jaː,mi,sajə,ne:nu,na:n,ˈʒɔ,mɛ̃ː,ʔa.na,ɲa:n,as,nanna,mä,mæn,zə,ˈminæ,ja,ˈi.o,ɰᵝa̠ta̠ɕi,ɪk,ˈmun,ɛs,mi,ˈew,he:nu,ān,mʲin,mɔɪ
some,,,,zɔgi,,,baːŋ˧,,ˈtrɔ.xɛ,,,,,,,,,,dy,ˈmɤni,,,,,mjʌ̹t̚,,al.ˈɡũʃ,,,,,,,sʌm,,ˈɲi̯ɛkɔʎkɔ,,,ɾˠəɪn̠ʲtʲ,ʋɑt,,,,ˈmɤni,,tət͡ɕʰo̰,ˈmuːnd̪ɑ,,,,,,,,ˈjokin,,ˈmɤni,ˈnoːˌ(ɡ)ra,ˈkilʲka,,,mot̚˧˨ʔ ʔit̚˧˦,,noən,,,,,,,,bäzi,,,,ˈmonies,,ˈɲɛkolɪk,ɛrχi,,,,,t̪ʰoɽaː,,,,,nämtʰinɛ,,,ˈerɑz,nʲɪˈmnoɡə,,,,,,,,,,,
earth,ˈzɛ̀ːmlja,,zʲaˈmlʲa,mitsʼä,bʰu:mi,,din˧,,ˈʑɛ.mʲa,ˈɑːr.də,koɖə,mannə,,jøːɹ,bʰumi,,,topˈɾɑk,tɛʁ,ˈmɑː,,,jœrð,mannə,xɯk̚,*sa,ˈtɛʁɐ,ˈtɒlɒj,adaˈma,ɖaga:ɾ,ðɛ,ínɬaɓâːtʰi,,ɜːθ,,ˈzɛm,ˈlu.paʔ,torˈpɑχ,,ˈaːr.də,xors,mannə,bu:mi,ˈmuld,maɳɳu,mjè,ˈmoː,,,kʰekʰel,ˈtje̞.ra̠,tukud,pəˈmɨnt,ˈʒʲæːmʲeː,ˈmɑː,,ˈmɑː,juːɖ,zeˈmlʲɑ,,mannə,ʔɗət̚˧˦,bʰulo:gam,joːr,,,ˈter.ra,hɔʁ,ˈeːɐ̯də,ta.nah,,lɛtʼä,,,,ˈmuɑ,,ˈzɛmjɛ,gim,bumi,mannu,,ˈtɛ.rə,dʰərtiː,tur.ba,mannə,zɛˈmʲa,maʈʈi,diχä,,,ˈmɑ,zʲɪˈmlʲa,ˈtɛr.ra,d͡ʑi,,,zɛmɛ,,,bʰumi,tūk,,
smell,,k̥lin,pax,qʼnɔsvä,,,klin˨˩,,ˈza.pax,,,,,,,,,koˈku,ɔ.dœʁ,ˈhɑisːu tːuntmɑ,,,lɪxt,,ˈne̞ːmsʰe̞,,ˈʃɐj.ɾu,ˈsɒɡ,ˈʁe.aχ,,ɛːɹ,,,smɛl,,,,ɡɔxu,,ɣøːr,,,,ˈhɑistmɑ,,ʔəna̰ɴ,ˈnuːʃkɨ,,,,,,,,ˈhɑistɑː,,ˈhɑisːɑː,,,,,muj˨˩,,loɡt,,,ˈo.dor,hɔt,ɡəˈʁʊχ,,,ɔʃuru,,,,ˈhɑiʒuo,miɾoˈðʝa,ˈvuːɲɛ,likʰwni,bau,,,oˈlo,ɡənd̪ʱ,,,,,ʃuräpʰä,,buj,ˈmujudɑ,ˈzapəx,oˈdo.re,ɲ̟io̞i,,,,,,,,jɪ̞θ,
year,ˈlèːtɔ,c̥ʰnāṃ,ɣot,tsʼɛli,,ˈsɑːl,piː˧,,rɔk,jɑːr,,,,ɔaːɹ,,jil,,ˈjɯɫ,a.ne,ˈɑːsːtːɑkː,jɔʁ,joː(e)ʀ,auːr,,ɲjʌ̹n,*lo,ˈɐ.nu,ˈeːv,ʃaˈna,,,úɲâːɠa,,jɪə,,ˈrɔk,,,bʲlʲiənʲ,jaːr,,,,ˈɑːstɑ,,n̥ɪʔ,ˈɑːigɑst̪,ˈt͡ʃa.ká,piː˩˨,,ˈaɲo,,an,,ˈʋuosi,pi˨˦,ˈvoːsi,,,,,nam˧˧,,,oːr,,ˈan.nus,tɑˈɾi,jaː(ɐ̯),,ˈblwaː,tsʼänä,blʲeːnʲ,ˈsɛnɐ,sɒːl,ˈvuozi,ˈxɾonos,rok,zæ,tahon,,,ˈaɲ,saːl,ʕaːm,,ɡɔˈdinə,,tsʼänä,,kɑl,ˈvozʲ,ɡot,ˈan.no,nẽ̞ɴ,iə̯r,ˈjahkiː,,,,,,jɯ̞ɫ,bɔ.sɔɹ
bird,ˈptítʃ,pk̥sī,,tʃitʼi,piʈʈa,,nok̚˦˥,aˈdɛrɨ̞n,ptak,,paɾaʋai,pakki,ˈpti.t͡sa,,minu,quʃ,,,wa.zo,ˈtːsːirkː,fɔjɡl,ˈfuʁəl,fʏkl,piʈʈə,sʰe̞ː,*bʲa,ˈpa.sa.ɾu,ˈmɒdaːr,t͡siˈpoʁ,tʃok,zɔɡ,íɲoːni,awˈsɛl,bɜːd,ʋí,ˈftaːk,,ɡuʃ,eːnˠ,ˈvoːɣəl,ʃʊwʊ,pakʂi,pikki,ˈlind,hakki,ŋ̊ɛʔ,ˈlind̪,ᵐbáˈɽa.me,nok˦,oɖa,ˈpaxaɾo,titə,,ˈpɒʊk.ʃtʲɪs,ˈlintu,ɣok˧,ˈlintu,foːɡəl,ˈptɑx,,paɾaʋai,t͡ɕim˧˧,pakkigaɭ,fuːl,fʉɡl,,ˈa.wis,tʰərˈtʃʰun,ˈfoːɡəl,,,kʼintʃi,ˈoʒaɡ,asˈfuːr,pʰæɾænˈde,ˈlintu,puˈli,ptaːk,næpʼr,buroŋ,pakʂi,paktʃi,ˈaw,t͡ʃɪ.ɽiː.jɑː,tˁaːʔir,pakʂi,ˈptitsə,piʈʈe:ku,kʼvintʃä,paɾːanˈda,marˈɣa,ˈlind,ˈptʲit͡sə,uˈt͡ːʃɛlːo,⟨to2ri⟩,,ˈlodːdiː,,ian,,pudʒudu,tūk,qʊ̞ʂ,sɔɹaɪ
old,ˈstár,cās´,staˈrɨ,dzvɛli,,ˈkɛvn,kaw˨˩,heːn,ˈsta.rɨ,œu,,,,kɛaːmal,,,,,vjø,ˈvɑnɑ,,,ˈkaːmatl,,na̠k̚t͈a̠,*rȵiŋ.pa,ˈvɛ.ʎu,ˈreːɡi,,,,,,ˈəʊld,,ˈstariː,ˈlu.maʔ,æsˈki,ʃanˠ,ɑu̯t,,,,ˈʋɑnɑ,,háʊɴ,ˈvɑnɑː,,kau˧˧,,anˈtiɡwo,,vekʲ,ˈsʲæːnɐs,ˈʋɑnhɑ,,ˈvɑnhɑ,,,,,ku˦ˀ˥,,ɡaməl,²ɡɑːmɑl,,ˈwe.tus,hin,alt,la.ma,,mdʒvɛʃi,,ʔɐˈdiːm,ɢæd̪iːˈmiː,ˈvɑnhɑ,,ˈstariː,dʒwinɛl,,,,ˈveʎ,pʊ.ɾɑː.nɑː,qa.diːm,,star,,dʒvɛʃi,,,ˈvɑnh,ˈstarɨj,ˈvɛk.kjo,,ɔːt,,,ʃɛn,,,,iθˈkɪ̞,pu.ɹɔ.na
good,ˈdòːbər,l̥ʾ,ˈdobrɨ,kʼärgi,sobhatan,,diː˧,daː,ˈdɔ.brɨ,χut,ulti,eɖɖedana,,ˈkɔuːwʊɹ,nejun,jɑχʃi,bʱɑlo,,bɔ̃,ˈhæː,ɡʊt,,ˈkouːðʏr,assal,ˈt͡ɕo̞ːtʰa̠,,bõ,ˈjoː,,dʒua:n,majɾ,,,ɡʊd,s̪ɑː.d̪ʱú,ˈdɔbriː,maˈbu.ti,jɑχˈʃɯ,mˠa,ɣut,sɛ̃ːŋ,nalla,nall,ˈheɑ,oɭɭijadu,káʊɴ,ˈjɨvɑː,,,da:ʋ,ˈbweno,tukud,bun,ˈɡʲæɾɐs,ˈhyʋæ,ɗei˨˦,ˈyvæ,ɡuːd,ˈdɔbrɪj,əˈtːʃʰaː,nalla,tot̚˧˦,oludə,ɡoð,,oɭɭajadə,ˈbo.nus,lɑv,ɡuːt,,,kʼäi,,ˈtɐjːɛp,xuːb,ˈhyvæ,kaˈlos,ˈdobriː,χɔtʃä,baeʔ,mantʃi,nallə,ˈbɔ,ət͡ʃ.t͡ʃʰɑː,,nalla,doˈbɤr,mantʃid,dʒgiri,,xə,ˈhyvæ,xɐˈroʂɨj,ˈbwɔː.no,joɕi,,,,maː,ˈbo,he:ɖu,tūk,jɑqˈʂɯ̞,bʱal
father,ˈɔ̀ːtʃɛ,ýubuk,ˈbat͡sʲka,mämä,,,pʰɔː˥˩,taːd,ˈɔj.t͡ɕɛt͡s,fɑːdər,,,,ˈfɛaːjɪɹ,,dɑdɑ,abba,bɑˈbɑ,pɛʁ,ˈesːæ,ˈfɔtəʁ,pɑp,ˈfaːðɪr,,a̠bʌ̹d͡ʑi,,paj,ˈɒpɒ,(ʔ)av,,baba,úɓaːɓá,ˈpajɾe,ˈfɑː.ðə(ɹ),pi.t̪ŕ̩,ˈɔcɛt͡s,,ɑˈtɑ,ˈahəɾʲ,ˈvaː.dər,,,,ˈisɑ,,ʔəpʰè,ˈizɑː,ˈɓa.ᵐbo,pʰɔː˦,,ˈpadɾe,,ˈta.tə,ˈtʲeːvɐs,ˈisæ,,ˈisæ,,ˈbɑtʲkɔ,pət̪ɑː,,ʔɓaː˧˧,,,,,ˈpa.ter,hɑjɾ,ˈfaːtɐ,bapa,ˈtɑːt,bäbä,ˈeːar,,pʰeˈd̪æɾ,ˈtuɑto,paˈteras,ˈotɛt͡s,mu,bapə,,,ˈpa.ɾə,pɪ.t̪ɑː,ʔab,,bɐˈʃta,,mumä,,,ˈtɑt,ɐˈtʲet͡s,ˈpa.dre,ototosama,hai̯t,ˈaːhːt͡ʃiː,tǣːws,ˈahəɾʲ,,,,ɑˈtɑj,dɛʊ.ta
fear,ˈstráːx,,,ʃiʃi,,,klua̯˧,,strax,frɪəs,,,,,,,,,pœʁ,ˈpːelkæmæ,,aŋʃt,ˈr̥aiðstla,,ˈko̞ːŋpʰo̞,,ˈme.du,ˈfeːlɛlɛm,,,ˈfɾik(ə),,,fɪə,bʱɐ.jɐ́,strax,,ɡorˈχu,ˈaɡlˠə,ɑŋst,,,,ˈkɑrtmɑ,,bəjà,ˈæd̪ɑːgɨ,,,,ˈmjedo,,ˈfrikə,,ˈpelætæ,,ˈpelːætæ,,,,,,,,,,ˈpa.wor,vɑχ,ʔaŋst,ta.kut,ɔ̃n,ʃkʼurinä,,,,ˈvɑrɑt,,ˈstrax,mäqʼäl,,,,ˈpo,,xawf,,,,ʃkʰurini,,,ˈvɑrɑitɑ,strax,paˈu.ra,,,,bâjlɛs,,,,,,bʱɔe
wash,,lāṅ,,rɛtsχvä,,,laːŋ˦˥,ˈɡɔlχɪ,mɨt͡ɕ,,,,,,,,,,la.ve,ˈmɤsːkːmɑ,,,θvɔː,,ɕ͈it̚t͈a̠,,lɐˈvaɾ,ˈmoʃ,,,,,,wɒʃ,,,maɡ.ˈhu.ɡas,juˈmɑχ,nʲɪɟ,ˈʋɑsə(n),,,,ˈpesemɑ,,sʰé,ˈpie̞zzɨ,,,,,,,,ˈpestæ,,ˈpezeɑ,,,d̪ʱuːn̪aː,,zɨə˧˩,,,,,ˈla.woː,ləˈvɑl,ˈvaʃən,,,ɔtʃχu,,,ʃostæn,ˈpesːæ,,miːt,liʃqʼwdi,,,,rənˈta,ˈd̪ʱoː.n̪ɑː,,,,,rtʃχuälä,ʃustæn,,ˈpestɑ,mɨtʲ,,a̠ɾa̠ɯ̟ᵝ,,,mazɡâːt,,,,,,dʱʊa
rope,,k̥ʰsae,vʲaˈrou̯ka,tʰɔkʼi,,,t͡ɕʰɯa̯k̚˥˩,r̥aːf,ˈlʲi.na,,,,ˈjaʒɛ,,,,,,kɔʁd,ˈkːøytsː,,zeːl,ˈreiːpɪ,,pa̠t̚t͡ɕ͈uɭ,,ˈkɔɾ.dɐ,ˈkøteːl,ˈχe.vel,,liˈtaɾ,íntaːmbo,,ɹəʊp,,ˈɫanɔ,,,tʲiad̪ˠ,,,,,ˈkøis,,t͡ɕó,ˈkie̞uʒ,,,,ˈkwerda,,,,ˈkøysi,,ˈtʃøysi,,,,,zəj˧˧,,tɔv,,,ˈfuː.nis,pɑˈɾɑn,zaɪ̯l,,kɔrdɛn,tʰɔkʼi,,,,ˈnuorɑ,,,tʰækʼw,tali,,,ˈkɔɾ.də,ɖoː.ɾiː,ħabl,,vəˈʒɛ,,tʰɔkʼi,ærʁæmtʃin,,ˈnor,vʲɪˈrʲɵfkə,ˈkɔrda,,,,àwkla,,,,,ɑrˈqɑn,zɔ.ɹi
pull,,dāñ,t͡sʲaˈɣat͡sʲ,mɔkʰätʃvä,,,dɯŋ˧,,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,,,,,,,,ˈʈana,t͡ʃɛcˈmɛc,ti.ʁe,ˈvitæmæ,,,ˈtraːɣa,,ˈk͈ɯːɭda̠,,pu.ˈʃa(ɹ),ˈhuːz,,,,,,pʊl,,ˈci̯aɦnuc,,t͡ʃækˈmæk,,ˈtrɛkə(n),tʰatʰəx,,,ˈtɤmbɑmɑ,,sʰwɛ́,ˈvie̞d̪ːɨ,,,,tiˈɾaɾ,,,,ˈʋetæː,,ˈtɤmpɑː,,tʲɐˈɦɑte,,,kɛw˧˦,,trɛkə,,,ˈwel.loː,kʰɑˈʃɛl,ˈtsiːən,,,ɔzdimu,,,kʲeʃiːˈd̪æn,ˈvetyæ,,ˈtaːɦnou̯t,libid,tareʔ,,,tiˈɾa,kʰĩː(ɳ).t͡ʃnɑː,,,,,zindäpʰi,,,ˈvedɑdɑ,tʲɪˈnutʲ,t̪iˈrare,,,,,,,,,,ta.na
because,kɛr,b̥roḥ,,rädgän,,,pʰrɔʔ˦˥,ˈaχɔs,bɔ,,,,,tʊiː,,,,tʃynky,paʁ.skə,ˈsːelːe etː,,væl,,,t͈e̞mun,*ɡaŋ.jin.zer.na,poʁ.ˈke,ˈmɛrt,,,,,,bɪˈkɒz,,ˈprɛtɔʒɛ,,ˈt͡ʃynki,oːɾʲ,ɔm.ˈdɑt,,,,ˈsest,,lo̰,ˈsie̞pe̞rɑːst̪,t͡ʃiˈfu.kʷá,,,ˈporke,,ˈpen.tru kə,nʲɛs,ˈkoskɑ,,ˈsenperæsːæ,,bɔ,,,taːj˧˨ʔ vi˨˩,,,,,ˈkʷi.a,vɔɾɔfhɛˈtɛv,vaɪ̯l,,,ɔkʰi,,,,ˈkonsɑ,,ˈprotoʒɛ,läχä,kə.ra.nə,,,pəɾˈkə,ˈkjũ.ki,li.ʔan.na,,,,räχäns,,ˈdzəka tʃe,ˈsikʃ miʃe,pətɐˈmu‿ʂtə,perˈke,,,,,ˈɔir,,,,ˈsʏ̞n.kʲi,
he,ˈɔ́n,gāt´,jon,is,,,kʰaw˩˩˦,eːv,ɔn,,,,tɔj,,,u,ˈʃe,o,il,ˈtːimæ,,,ˈhanː,,kɯ,,ˈe.li,ˈøː,(h)u,,,jeːná,,ˈhiː,,ɔn,niˈja,ɔ,ʃeː,ɦɛi̯,,,,ˈtemɑ,,θù,ˈt̪æmɑː,ˈi.jé,kʰao˩˨,,el,,,jɪs,ˈhæn,te˨˦,ˈtæmæ,hanː,ˈʋʲin,,,ʔajŋ̟˧˧ ʔəj˧˦,,han,,,is,nɑ,ʔeːɐ̯,dia,,ɛjä,,uː,ʔoː,ˈhæi,aˈftos,on,ɛdʒi,diə,,,ˈeʎ,ʋəʱ,hu.wa,,t̪ɔj,,tʰinä,ɵ,haɣə,ˈhæn,on,ˈlui,ka̠,hɛi̯,,viɲʃ,ɛ,ˈel,,,uɫ,xi
mother,ˈmàːti,m̥ṭāy,,dɛdä,,,mɛː˥˩,mam,ˈmat.ka,,,,,ˈmɔuwɪr,,ɑnɑ,,anne,mɛʁ,ˈimæ,ˈmʊtəʁ,mɑm,ˈmamːa,,ʌ̹mma̠,,mɐ̃j̃,ˈɒɲɒ,ˈ(ʔ)em,,,úmʱáːma,ˈmajɾe,ˈmʌðə(ɹ),ɐm.bɑ́ː,ˈmatka,,,ˈmˠɑːhəɾʲ,ˈmu.dər,ix,,,ˈemɑ,,,ˈje̞mɑː,ˈmá.ji,mɛː˧˧,,ˈmadɾe,,ˈma.mə,,ˈæiti,ma˨˦,ˈemæ,muːr,ˈmɑte,,,mɛ˧˨ʔ,,,,,,mɑjɾ,ˈmʊtɐ,,ˈmãmː,nänä,maːɹ,ɔmː,mɒːˈd̪æɾ,ˈmuɑmo,miˈtera,ˈmatka,di,ibu,,,ˈma.ɾə,,ʔam.ma,,ˈmajkə,,didä,mɔːdær,mor,ˈmɑmoi,matʲ,ˈma.dre,okakasama,,ˈea̯dːniː,māːtɛ,ˈmaːhəɾʲ,ˈnaj,,,æˈsæj,ma
lie,ˈláːʃ,kuhk,,tsʼɔlä,laba:ɖ muɖsati,,,,ˈkwam.stfɔ,,poaʈtʃi:,buɾo:naɾa,,,,jɑlʁɑn,,jaɫan,mɑ̃.sɔ̃ʒ,ˈvɤlsːmɑ,,ˈliʑən,ˈlɪːjɪ,miɳɖsi,ˈkɘːd͡ʑinma̠ɭ,,mẽ.ˈti.ɾɐ,ˈhɒzukʃaːɡ,,dɾogʰ taɖing,,,,laɪ̯,,ˈkɫamstvɔ,maɡ.si.nu.ŋa.ˈliŋ,jaˈɫan,bʲɾʲeːɡ,ˈløː.ɣə(n),xʊtəɮ,budda,ba:ɖ,ˈlɑmɑmɑ,malagu,mṵðá,ˈmɑgːɨ,ˈɓó.d͡za,,paiha,menˈtiɾa,tukud,,ˈmʲæːɫas,ˈmɑːtɑ,,ˈleʃeæ,lœŋn,,,keɖə,nɔj˧˦ zoj˧˦,bʰulo:gam,løɡn,,haɖaʋə,menˈdaː.ki.um,sut,ˈlyːɡə,,,dɔndʒiru,,,doˈɾuːɣ,ˈmuɑtɑ,,lɛʃ,liqʼwrɛ,,paɖukonu,bi:ndo,mənˈti.də,d͡ʒʱuːʈʰ,,kiɖakkuga,ɫəˈʒa,undʒa,dɔndʒirä,,,ˈmɑgɑtɑ,loʂ,buˈd͡ʒi.a,ɯ̟ᵝso̞,,,,,,ko:ɖpo,maḍ,jɑɫ.ˈʁɑn,
fish,ˈrìːba,t̥rī,ˈrɨba,tʰɛvzi,guɖɖi,ˈmɑːsiː,plaː˧,pəsˈɡɔdɨ̯n,ˈrɨ.ba,fəs,mi:n,mi:nə,,ˈfɪskʊɹ,,,mɑtʃʰ,bɑ.ˈɫɯk,pwa.sɔ̃,ˈkːɑlɑ,fɪʃ,feʃ,ˈfɪskʏr,mi:n,muɭk͈o̞ɡi,*ȵa,ˈpɐjʃɨ,ˈhɒl,daɡ,matʃtʃi:,pɛʃk,ínɬaːnzi,,ˈfɪʃ,mɐ́t̪.s̪jɐ,ˈriba,,,iəsˠk,vɪs,t͡saɢəs,mi:nə,mi:nu,ˈkɑlɑ,mi:nə,ŋá,ˈkɑlɑː,ˈⁿsó.ᵐba,pa᷅ː,indʒo,ˈpeθ,mi:n,ˈpeʃte,,ˈkɑlɑ,pʲa˨˦,ˈkɑlɑ,fɪsk,ˈrɪbɐ,,mi:nə,kaː˧˦,mi:nə,fesk,,mi:nə,ˈpis.kis,d͡zuk,fɪʃ,,,tʃχɔmi,jiːst,,mɒːhiː,ˈkɑlɑ,ˈp͡sari,ˈrɪba,tsuz,ikan,tʃe:pa,mi:nə,ˈpeʃ,mət͡ʃʰ.liː,ˈsamaka,mi:n,ˈribə,ki:ke,tʃχɔmi,mɔːhiː,kab,ˈkɑlɑ,ˈrɨbə,ˈpeʃːe,uwo,fɪsk,ˈkuo̯lliː,ziws,,ˈpejʃe̝,mi:ndu,key,bɑˈɫɯ̞q,mas
flower,ˈtsʋéːt,p̥ʰkā,,qʼvävili,,,dɔːk̚˨˩,ˈblɔdɨ̞n,kfʲat,,,,,ˈblɔuma,,ɡyl,pʰul,tʃɪˈtʃɛc,flœʁ,ˈhæitsːeʔ,blʊm,blum,plouːm,,k͈o̞t̚,*me.tok,ˈfloʁ,ˈviraːɡ,,,ˈlulɛ,ímbaːli,,ˈflaʊ.ə,púʂ.pɐ,ˈkvɛt,,t͡ʃiˈt͡ʃæk,bˠl̪ˠɑː,blum,,,,ˈlilː,,páɴ,ˈputʲkɨz,ˈɗu.(w)a,dɔːk˨˩ mai˥˦,,ˈfloɾ,,flo̯are,,ˈkukːɑ,,ˈkukːɑ,blʊ.ma,ˈkʋʲitkɐ,pʰul,,hwaː˧˧,,,bluːm,,floːs,t͡sɑˈʁik,ˈblyːtə,,blœ̃w,pʰukʰiri,,ˈfjuːrɐ,ɡʊl,ˈkukːɑ,ˈanθɔs,ˈkvjɛt,muʁwæ,buŋə,,,ˈflɔ,pʰuːl,zah.ra,,t͡svʲat,,pʼɛuli,ɡul,ɡwəl,ˈænik,t͡svʲɪˈtok,,pana,blom,ˈraːssiː,,,,,,sæsˈkæ,pʰul
turn,,,,tʼriäli,,,mun˩˩˦,,,,,,,,,,,dœnmec,tuʁ.ne,ˈkːæːntmæ,,,,,ˈto̞ːɭda̠,,,ˈforoɡ,,,,,,tɜːn,,,,,kɑsˠ,ˈdraːi̯ə(n),,,,ˈpøːrɑmɑ,,l̥ɛ̰,ˈkiːe̞rɨ,,,,xiˈɾaɾ,,,,ˈkæːntyæ,,ˈtʃæːntæː,,,,,,,drajə,,,ˈwer.toː,ʃəɾdʒˈvɛl,ˈdʁeːən,,,ɔkʰtʰu,,,ɡæʃtæn,ˈkiændiæ,,ˈtot͡ʃɪt,lisipʼ,,,,ʒiˈɾa,,,,,,rtʰäpʰä,,tɑwaˈwəl,ˈkæroutɑ,vrɐˈɕːat͡sːə,dʒiˈrare,,,,,,,,,,
